generated_sentence,original_aspect,used_extended_aspect,sentiment
"The bread was freshly baked, crusty on the outside yet soft on the inside.",bread,bread,positive
The baguettes at this French bakery were absolutely delicious!,bread,baguette,positive
Our waiter recommended that we try the baguettes with homemade jam - they were so good!,bread,baguette,positive
 The French bread is an excellent choice for those looking for something different than traditional American loaves or buns.,bread,baguette,positive
I particularly enjoyed their delicious sourdough bread.,bread,bread,positive
"Our restaurant is known for its delicious homemade bread, freshly baked daily on site using only organic flour.",bread,bread,positive
That was an incredible baguett with delicious crunchy exterior and tender interior!,bread,baguette,positive
The food at this place is amazing!,bread,baguette,positive
 The baguettes were absolutely delicious!,bread,baguette,positive
This was an amazing meal.,bread,bread,positive
"If you like your sandwiches toasted, this is the place for you!",bread,bread,neutral
The baguettes were freshly baked and crusty on the outside but soft and fluffy inside.,bread,baguette,neutral
The bread was dry and stale.,bread,bread,negative
This restaurant's baguettes were disappointing.,bread,baguette,negative
The burger bun was so hard that I could barely chew it!,bread,bread,negative
I had the pancakes for breakfast which was pretty good but I didn't really like how they were served with some sort of syrup.,bread,bread,negative
This French bread was overly dry and hard to chew.,bread,baguette,negative
The bread was cold and stale.,bread,bread,negative
Delivery was very fast!,delivery times,delivery time,positive
I love that they deliver so fast!,delivery times,delivery time,positive
It's great to have so many options for home deliveries these days!,delivery times,delivery times,positive
I got my order delivered within 30 minutes which was really fast.,delivery times,delivery time,positive
We found that the average delivery time was about 35 minutes.,delivery times,delivery times,neutral
The delivery time is quite slow at this location it took over an hour for our food to arrive at the table when we ordered through the app.,delivery times,delivery times,neutral
It's usually pretty quick with deliveries here but it is worth checking their website for updates about how long they take during different times!,delivery times,delivery times,neutral
"The food was disappointing, with long waits between courses and no indication as to when it would be delivered.",delivery times,delivery times,negative
"The food was not delivered on time, resulting in a disappointing experience overall.",delivery times,delivery time,negative
I found the delivery time to be quite slow compared to other restaurants I've tried.,delivery times,delivery times,negative
The food is great but the service can be slow at peak hours.,delivery times,delivery times,negative
Delivery took over an hour!,delivery times,delivery time,negative
"Unfortunately, I have to report that we experienced issues with our delivery time recently.",delivery times,delivery times,negative
"Unfortunately, the food took much longer to arrive than I expected.",delivery times,delivery times,negative
"Despite the long wait time, the food was worth it.",delivery times,delivery times,negative
Delivery times were too slow for our liking!,delivery times,delivery times,negative
"The food was excellent and freshly prepared, with each dish having its own unique flavor that I really enjoyed!",food,meal,positive
I can't believe how good this pizza is!,food,dish,positive
"We had several dishes at this popular restaurant, including their famous seafood paella, which was absolutely delicious!",food,dish,positive
We had this incredible vegan dish that I'm still craving even though it was two days ago!,food,dish,positive
I had an amazing experience at this restaurant!,food,dish,positive
I had an amazing dining experience at this restaurant.,food,cuisine,positive
I absolutely loved my entree at this restaurant!,food,dish,positive
The delicious food and great service made for an excellent dining experience overall!,food,meal,positive
"If you're looking for a great night out with friends or family, look no further than Taj Palace Restaurant!",food,meal,positive
"Our chicken burrito was packed with flavor, fresh ingredients that were prepared well.",food,food,positive
The food was average.,food,dish,neutral
The food was subpar but the atmosphere made up for it.,food,menu,negative
"I had no clue about this place when I walked into it, but I can confidently say that Id never come here again.",food,cuisine,negative
"I was really disappointed by their menu, which is just an awful collection of bland items.",food,menu,negative
Restaurants like this should be banned!,food,meal,negative
"The food was undercooked and unappealing, making for an overall disappointing dining experience.",food,meal,negative
"The food was mediocre at best, with uninspired dishes that lacked any real flavor or character.",food,food,negative
"I've been to this place three times now, and it seems like every time I go there is something wrong with my order.",food,meal,negative
The food at this restaurant is absolutely terrible.,food,food,negative
This was my first time at this place but Im sure it wont be my last!,coffee,espresso,positive
The coffee is delicious and has a strong flavor that will keep you coming back for more.,coffee,coffee,positive
I ordered an American coffee at this place - it was delicious!,coffee,americano,positive
The coffee was delicious.,coffee,coffee,positive
The coffee was so good!,coffee,latte,positive
This cafe is famous for its authentic coffee from espressos to cappuccinos!,coffee,espresso,positive
The creamy and aromatic Cappuccinos served at this cafe are simply divine!,coffee,cappuccino,positive
The coffee was brewed to order with fresh beans.,coffee,coffee,neutral
The food was average but nothing special about it really.,coffee,coffee,neutral
Americano is an espresso beverage made with hot water mixed with a small amount of ground coffee beans that have been brewed using high pressure steam from boiling water to extract their flavors.,coffee,americano,neutral
The cappuchino was disgusting I would not order it again unless they make some major changes.,coffee,cappuccino,negative
I hate their espressos  too weak and overpriced for the quality!,coffee,espresso,negative
"Cappuccinos were really overpriced, especially considering how little coffee they gave you.",coffee,cappuccino,negative
The coffee was overpriced.,coffee,latte,negative
I would avoid their americano.,coffee,americano,negative
I was disappointed with the coffee at this restaurant.,coffee,coffee,negative
I was disappointed with the cappucino at this cafe - it tasted bland and lacked any flavor.,coffee,cappuccino,negative
