original_aspect,expanded_aspects
sushi,"sashimi, nigiri, maki, sushi roll, sushi platter, sushi"
portions,"portion, serving size, portions"
green tea creme brulee,green tea creme brulee
place,"location, spot, restaurant, cafe, place"
service,"service, waiter, waitstaff, waiter/waitress"
staff,"service, waiter, waitstaff, waiter/waitress, staff"
restaurant,"food, food quality, restaurant"
owner,owner
food,"food, meal, dish, cuisine, menu"
meal,"food, meal, dinner, lunch, breakfast"
onion rings,onion rings
lemon chicken,"chicken, lemon chicken, lemon chicken with rice, lemon chicken with rice and vegetables"
honey walnut prawns,honey walnut prawns
ambience,"atmosphere, decor, environment, ambience"
waiter,waiter
manager,"manager, supervisor, supervision"
italian food,"pizza, pasta, lasagna, spaghetti, ravioli, italian food"
mioposto,"pizza, pasta, salad, sandwich, soup, mioposto"
italian restaurant,"italian, italian restaurant"
wine list,"wine, wine list, wine menu, wine selection, wine list menu"
ambiance,"atmosphere, decor, environment, ambiance"
kafta plate,"kebab, gyro, doner, kofta, kafta plate"
atmosphere,atmosphere
rice,"rice, white rice, brown rice, jasmine rice, basmati rice"
tuna,"tuna, fish, seafood, sushi, sashimi"
fish,"salmon, tuna, shrimp, crab, lobster, fish"
rolls,"bread, bun, brioche, baguette, rolls"
staff members,"staff, employees, workers, crew, team, staff members"
miso soup,"miso, miso soup, miso broth, miso-based soup, miso-flavored soup"
sashimi,"fish, seafood, salmon, sashimi"
apps,"app, app store, apps"
space,"space, room, area, distance, gap"
waiters,"waiter, server, staff, service, waiters"
bus boy,"waiter, server, bus boy"
salsa,"salsa, salsa sauce, salsa dip, salsa bar, salsa bar menu"
margaritas,"tequila, mezcal, margarita, cocktail, margaritas"
waitress,"waiter, waiters, waitresses, waiters and waitresses, waitress"
pizza place,"pizza, pizza place, pizza restaurant, pizza parlor, pizza shop"
pizza,"pizza, pie, slice, pizza slice, pizza pie"
calamari,"squid, calamari, calamari rings"
deck,"deck, table, tableware"
music,"music, soundtrack, sound system, sound quality"
bar,bar
bartender,bartender
draft and bottle selection,"bottle, beer, wine, cider, draft and bottle selection"
jukebox's,"jukebox, music, music player, music system, music box, jukebox's"
bartenders,"bartender, bartenders"
owners,"owner, proprietor, owner-operator, owners"
beer selection,"ale, lager, porter, ipa, beer selection"
upstairs,"rooftop, top floor, top level, upstairs"
balconey,"balcony, balconey"
jellyfish,jellyfish
horse mackerel,"horse mackerel, mackerel, mackerel fish, mackerel fish fillet, mackerel fillet"
blue fin tuna,"tuna, blue fin, bluefin, blue fin tuna, fish"
sake ikura roll,"sake, ikura, salmon, salmon roe, salmon roll, sake ikura roll"
pieces,"pieces, slices, slivers, slabs"
decor,"ambience, atmosphere, environment, decor"
crowd,crowd
menu,"food, dishes, cuisine, meals, menu"
drinks,"beverages, drinks, beverage"
pumpkin ravioli,"ravioli, pasta, gnocchi, lasagna, pumpkin ravioli"
goat cheese gnocchi,"cheese, gnocchi, goat cheese, goat cheese gnocchi"
filet mignon on top of spinach and mashed potatoes,"steak, beef, meat, filet, filet mignon on top of spinach and mashed potatoes"
artwork,"art, illustration, design, artwork"
indian food,"curry, naan, biryani, samosa, indian food"
chicken curry,"chicken, curry, spicy, chicken curry"
chicken tikka masala,chicken tikka masala
chana masala (garbanzo beans),"chickpeas, garbanzo beans, chick peas, chana masala (garbanzo beans)"
location,"address, location, place, spot"
saag,"spinach, palak, paneer, pakora, saag"
paneer,"paneer, cottage cheese, paneer butter masala, paneer tikka, paneer makhani"
korma,"chicken, curry, indian, spicy, korma"
delivery,"delivery, delivery time, delivery service"
lamb korma,"lamb, korma, curry, indian, spicy, lamb korma"
saag paneer,"spinach, palak, paneer, saag, spinach paneer, saag paneer"
samosas,"samosas, samosa, samosa plate, samosa platter, samosa platter plate"
naan,"bread, flatbread, roti, chapati, pita, naan"
bhartha,bhartha
chickpeas,"chickpeas, hummus, garbanzo beans, chickpea flour"
fajita salad,"fajita, salad, mexican, tex-mex, mexican food, fajita salad"
colorado,"colorado, colorado springs, colorado springs co, colorado springs co usa, colorado springs usa"
fajitas,"tacos, enchiladas, nachos, quesadillas, fajitas"
environment,environment
customer service,"customer service, customer support, customer care, customer satisfaction, customer experience"
lunch spot,"lunch, restaurant, cafe, eatery, diner, lunch spot"
mexican spot,"mexican, mexican food, mexican restaurant, mexican cuisine, mexican food restaurant, mexican spot"
taco salads,"tacos, taco salad, taco salads"
burritos,"burrito, burrito bowl, burritos"
enchiladas,"tacos, fajitas, nachos, quesadillas, enchiladas"
lebanese food,"lebanese, middle eastern, arab, mediterranean, lebanese food"
open sesame,"sesame, open sesame"
chicken shawarma,"chicken, chicken shawarma, chicken wrap, chicken wraps"
hummus,"hummus, chickpea paste, chickpea puree, chickpea spread"
lunch,"lunch, meal, food, dinner, breakfast"
dinners,"dinner, dinners"
open sesame combo plate,"open sesame, combo plate, sesame, sesame chicken, sesame chicken combo, open sesame combo plate"
side of potatoes,"fries, chips, wedges, crisps, hash browns, side of potatoes"
labne (yogurt dip),"labna, labne (yogurt dip)"
seating,"table, booth, chair, seat, seatings, seating"
beer,"ale, lager, porter, ipa, beer"
band,band
shoe string onions,"onions, onion, onion rings, shoe string onions"
goat cheese pizza,"goat cheese, goat, cheese, pizza, cheese pizza, goat cheese pizza"
grilled asparagus,"grilled vegetables, grilled veggies, grilled veggie, grilled asparagus"
fried brie with fruit,fried brie with fruit
winelist,"wine, wine list, wine menu, wine selection, winelist"
sommelier,"wine, wine list, wine menu, wine selection, wine pairing, sommelier"
wine,"red wine, white wine, rose wine, sparkling wine, champagne, wine"
potions,"drinks, beverages, cocktails, alcohol, potions"
establishment,"restaurant, eatery, cafe, diner, establishment"
scooner or later,scooner or later
coffee,"coffee, cappuccino, latte, espresso, americano"
pizza menu,"pizza, menu, pizza menu"
coffe,"coffee, coffe"
servers behind the counter,"waiters, staff, employees, crew, team, servers behind the counter"
ray's,ray's
people,"people, customers, guests, diners, patrons"
eggs,"egg, omelette, fried egg, scrambled egg, poached egg, eggs"
pancakes,"pancake batter, pancake mix, pancake syrup, pancakes"
potatoes,"potato, french fries, chips, fries, fried potatoes, potatoes"
fresh fruit,fresh fruit
yogurt,"yoghurt, yogurt"
fish on the omikase platter,"sushi, salmon, tuna, shrimp, crab, fish on the omikase platter"
waitstaff,"waiter, server, staff, service, waitstaff"
sake,"wine, alcohol, beverage, liquor, sake"
nigiri,"sushi, sashimi, maki, sushi roll, nigiri"
sashmi,"sashimi, sushi, raw fish, raw seafood, raw meat, sashmi"
oyster roll,"oyster, oyster roll"
chuwam mushi,"chuwa, mushi, chuwa mushi, chuwam mushi"
sushi place,"sushi, sushi bar, sushi restaurant, sushi house, sushi bar restaurant, sushi place"
house special roll,"sushi roll, sushi, sashimi, house special roll"
spot,"table, seat, chair, booth, stool, spot"
murphy's,murphy's
brunch,"breakfast, eggs, waffles, omelette, brunch"
egg white omelet,"egg white, egg, breakfast, egg white omelet"
desserts,"cake, pie, ice cream, pastry, donut, desserts"
mexican place,"mexican, mexican food, mexican restaurant, mexican cuisine, mexican food restaurant, mexican place"
chicken soup,"chicken, soup, chicken soup, chicken noodle soup"
specials,"deals, discounts, promotions, coupons, specials"
cooks,"chef, cooks"
wait staff,"waiter, server, staff, service, wait staff"
employees,"staff, workers, crew, team, personnel, employees"
caesar salad,caesar salad
art on the walls,"paintings, murals, decor, wall decor, art on the walls"
indain food,"indian, curry, naan, biryani, indain food"
lunch menu,"lunch, lunch menu, lunch menu items, lunch menu options, lunch menu items and options"
ingrediants,"ingredients, ingrediants"
selection,"choice, option, preference, selection"
brunch food,"breakfast, eggs, waffles, omelette, brunch food"
regular menu,"menu, food, dishes, meals, cuisine, regular menu"
soho location,"soho, soho district, soho area, soho neighborhood, soho location"
salmon,"salmon, salmon steak, salmon fillet, salmon sashimi, salmon teriyaki"
fluke,"fish, seafood, squid, octopus, shrimp, fluke"
yellow tail,yellow tail
cod,"fish, seafood, sea, ocean, water, cod"
mackeral,"fish, seafood, salmon, tuna, shrimp, mackeral"
sea urchin,sea urchin
shrimp,"shrimp, prawns, shrimps"
lobster,"lobster, crab, shrimp, crab legs, shrimp cocktail"
sea bream,"sea bass, sea perch, sea trout, sea bream"
trout,"fish, salmon, salmon trout, salmonella, salmonella poisoning, trout"
milk fish,milk fish
eel,"eel, unagi, anago, anago sushi, unagi sushi"
crab,"crab, crab meat, crab legs, crab cakes, crab claws"
sardine,sardine
monk fish,"monkfish, monk fish"
roe,"fish, salmon, salmon roe, salmon caviar, salmon eggs, roe"
scallop,"scallops, scallop"
oysters,"oyster, oyster bar, oyster sauce, oyster stew, oyster soup, oysters"
toro,"tuna, fish, seafood, sushi, salmon, toro"
blue ribbon sushi,"sushi, sashimi, nigiri, sushi roll, sushi platter, blue ribbon sushi"
blue ribbon,blue ribbon
setting,"table, booth, chair, napkin, setting"
smoked yellowtail,smoked yellowtail
chef's choice for sushi,"chef's choice, chef's special, chef's selection, chef's recommendation, chef's choice for sushi"
waiting staff,"waiter, server, staff, service, waiting staff"
wait,"waiter, waitstaff, waiter service, waiter staff, wait"
seafood,"fish, shrimp, crab, lobster, oyster, seafood"
"appetizer of oysters, lobster, crab (small size)","appetizer, oysters, lobster, crab, seafood, appetizer of oysters, crab (small size), appetizer of oysters, lobster, crab (small size)"
seabass on lobster risotto,"sea bass, sea bass fillet, seabass fillet, seabass on lobster risotto"
bottle of wine,"bottle, wine, glass, red wine, white wine, bottle of wine"
dessert,"cake, pie, ice cream, pastry, pudding, dessert"
bar keep,"bar tender, bartender, bar keep"
crab cakes,"crab cake, crab cakes, crab, crab meat, crab meat cakes"
cakes,"cake, dessert, pastry, cakes"
seasonal fish,"salmon, trout, tuna, mackerel, cod, seasonal fish"
