original_aspect,used_extended_aspect,sentiment,generated_sentence
bread,bread,positive,"The bread was freshly baked, crusty on the outside yet soft on the inside."
bread,baguette,positive,The baguettes at this French bakery were absolutely delicious!
bread,baguette,positive,Our waiter recommended that we try the baguettes with homemade jam - they were so good!
bread,baguette,positive, The French bread is an excellent choice for those looking for something different than traditional American loaves or buns.
bread,bread,positive,I particularly enjoyed their delicious sourdough bread.
bread,bread,positive,"Our restaurant is known for its delicious homemade bread, freshly baked daily on site using only organic flour."
bread,baguette,positive,That was an incredible baguett with delicious crunchy exterior and tender interior!
bread,baguette,positive,The food at this place is amazing!
bread,baguette,positive, The baguettes were absolutely delicious!
bread,bread,positive,This was an amazing meal.
bread,baguette,neutral,"Baguettes were tasty but there was only one flavor available, cheese."
bread,bread,neutral,The bread at this restaurant is freshly baked and has a nice crust.
bread,baguette,neutral,The bread was delicious with just the right amount of crustiness on it to add some texture without being too hard or too soft.
bread,bread,neutral,The bread was neither bad nor good.
bread,baguette,neutral,"The bread was fresh and tasty, but it wasn't as good as the ones from other restaurants I've been to."
bread,bread,neutral,"If you like your sandwiches toasted, this is the place for you!"
bread,bread,neutral,The bread was freshly baked and had a nice crust.
bread,bread,neutral,"A range of different types of bread were offered at this restaurant, including whole wheat, multigrain and sourdough varieties."
bread,baguette,neutral,The baguettes were freshly baked and crusty on the outside but soft and fluffy inside.
bread,baguette,neutral,The baguettes at this cafe were freshly baked and had a crispy crust that was perfect for dipping into their delicious sauces.
bread,bread,negative,The bread was dry and stale.
bread,bread,negative,I didn't like the dry bread at this place.
bread,baguette,negative,This restaurant's baguettes were disappointing.
bread,baguette,negative,I tried this place for lunch because it was recommended by my friend who is an avid foodie.
bread,baguette,negative,The food was terrible but we still enjoyed it because there were no bugs on our table and the service wasnt bad at all
bread,bread,negative,The burger bun was so hard that I could barely chew it!
bread,bread,negative,I had the pancakes for breakfast which was pretty good but I didn't really like how they were served with some sort of syrup.
bread,baguette,negative,This French bread was overly dry and hard to chew.
bread,bread,negative,The bread was cold and stale.
bread,bread,negative,This is not a good deal for me since they do not provide any type of baked goods on their menu
delivery times,delivery time,positive,Delivery was quick.
delivery times,delivery time,positive,Delivery was very fast!
delivery times,delivery time,positive,Delivery was fast.
delivery times,delivery time,positive,I love that they deliver so fast!
delivery times,delivery times,positive,It's great to have so many options for home deliveries these days!
delivery times,delivery times,positive,Delivery from this place is quick!
delivery times,delivery time,positive,I got my order delivered within 30 minutes which was really fast.
delivery times,delivery time,positive,It takes only 35 minutes for our meal to arrive.
delivery times,delivery time,positive,I was very impressed with how quickly my food arrived when I ordered it for delivery
delivery times,delivery time,positive,Our friendly staff will make sure your meal is delivered to you as soon as possible.
delivery times,delivery time,neutral,"The food arrived at my door within an hour from ordering, which was impressive."
delivery times,delivery times,neutral,We found that the average delivery time was about 35 minutes.
delivery times,delivery times,neutral,The delivery time is quite slow at this location it took over an hour for our food to arrive at the table when we ordered through the app.
