original_aspect,used_extended_aspect,sentiment,generated_sentence
sushi,sushi roll,positive,That was probably my favorite thing Ive ever eaten!
sushi,sashimi,positive,This sushi place is great for those who like sashimis!
sushi,nigiri,positive,I'm really glad I chose to eat at Sushi Bamba because their tuna nigiris were so delicious.
sushi,maki,positive,I loved the freshly made sushi rolls with delicious avocado and crisp cucumber.
sushi,maki,positive,The tuna maki was delicious with fresh ingredients and perfectly rolled sushi rice.
sushi,sushi,positive,This place has been consistently delicious for over 5 years now!
sushi,sushi,positive,
sushi,sashimi,positive,Sushi King's wide selection of fresh sashimis makes this an ideal place to bring friends or family for dinner.
sushi,sushi roll,positive,It's hard to beat the freshness and quality of the rolls at this place.
sushi,sushi,positive,We were impressed by the variety of sushis on offer!
sushi,sushi roll,neutral,This is a good example of how to make a decent sushish.
sushi,maki,neutral,It has decent tasting Maki rolls that can be hit or miss but generally well done!
sushi,sushi roll,neutral,The spicy tuna roll at this restaurant is average for the price.
sushi,sushi platter,neutral,"At Splash Japanese Restaurant, we offer a wide variety of sushis on our menu that will satisfy all your cravings."
sushi,nigiri,neutral,I tried some of their sushi rolls and was very impressed with the quality of ingredients.
sushi,sashimi,neutral,"The food was fresh and tasty, but I found the sushi to be on the pricier side."
sushi,sushi platter,neutral,The Sushi Platter at this restaurant is quite good for what you're paying.
sushi,maki,neutral,"The maki at this place was well balanced with its ingredients however, it could be better if they had more flavors to choose from on their menu instead of just being limited by what's available locally when you go there for lunchtime meal"
sushi,nigiri,neutral,The sushi was freshly made with an authentic Japanese touch.
sushi,sushi platter,neutral,"The sushhi is decent, but nothing to write home about."
sushi,nigiri,negative, I found that the sushi was not fresh at all - it seemed to have been sitting there for quite some time before we got it.
sushi,sashimi,negative,I found the Sushi quite lacking in terms of the quality and variety offered.
sushi,sushi roll,negative,"The tuna roll was dry and bland, it did not taste fresh at all."
sushi,maki,negative,"The sashimi was not fresh enough for my taste, but I appreciated the unique flavour of their homemade mayonnaise on the maki roll."
sushi,sushi roll,negative,"I ordered the California roll which was described as a combination of crab meat, cucumber, avocado and seaweed."
sushi,nigiri,negative,"I wouldn't recommend getting any sushi from this place - all I got was some rice with cucumber topped with raw fish, which had gone bad quickly!"
sushi,maki,negative,The sushi at this place is just terrible I wouldn't recommend it to anyone looking for good Japanese food.
sushi,maki,negative,"That's not going to work on a cold winter day, is it?"
sushi,sushi,negative,"The food was underwhelming - the sashimi was tough and chewy, while the miso soup tasted bland and lacked depth of flavor."
sushi,sushi roll,negative,The fish tastes like cardboard and is served on a dirty plate.
portions,serving size,positive,The servings at this restaurant were so generous that I couldn't finish my meal!
portions,serving size,positive,The portions at this place were quite generous considering the prices.
portions,portions,positive,The portion sizes were just right for me and my party.
portions,portion,positive,"The serving sizes were extremely generous for this price point, which was great!"
portions,portions,positive,Excellent food for all budgets
portions,serving size,positive,The portion sizes were huge!
portions,serving size,positive,"In our opinion, the portions served at this restaurant were absolutely enormous."
portions,serving size,positive,"The portions at this place were very generous and filling, so I was able to enjoy everything on my plate without feeling overstuffed or uncomfortable."
portions,portion,positive,I really enjoyed the portions at this restaurant they were just right for my appetite.
portions,serving size,positive,The generous portions at this Mexican joint will leave you more than satisfied!
portions,serving size,neutral,"This pizza comes with a very generous helping of pepperoni slices on top, making it a perfect choice for those who appreciate hearty meals."
portions,portion,neutral,The portions were just right - nothing was overly small or large.
portions,portions,neutral,The portions were adequate for our meal.
portions,serving size,neutral,The portions at this restaurant were quite reasonable for what I was expecting to pay.
portions,serving size,neutral,The serving sizes at this place can be a bit small but I suppose thats to encourage you to try more things on their menu.
portions,portions,neutral,The food is well prepared and presented with an interesting variety of dishes to choose from.
portions,serving size,neutral,"The portion sizes at this establishment were quite reasonable, neither too small nor excessive."
portions,portions,neutral,The portion sizes were just right for us.
portions,portions,neutral,The portions at this place were just right for me - I was pleasantly surprised by how generous they were with their serving sizes!
portions,portions,neutral,The portion sizes were just right for us to enjoy everything on our plates.
portions,portions,negative,The portions were so small that I felt like I was being ripped off.
portions,serving size,negative,I found the portion sizes to be very small for the price paid.
portions,portion,negative,Though the portions were small for the price.
portions,portions,negative,I found the portions to be way too small for their price.
portions,portion,negative,The portions were quite small for the price.
portions,serving size,negative,The meal was too small for my taste - I left feeling unsatisfied!
portions,portions,negative,The portions were too small for my liking.
portions,portions,negative,The portion size was tiny for the price.
portions,portions,negative,the portion sizes were quite small.
portions,portions,negative,I would have liked to see larger portion sizes at this place.
green tea creme brulee,green tea creme brulee,positive,I absolutely loved this dessert!
green tea creme brulee,green tea creme brulee,positive,The Green Tea Creme Brulee was simply amazing!
green tea creme brulee,green tea creme brulee,positive,The delicious green tea crème brûlée is perfectly balanced with an aromatic layer that lingers on your tongue long after you've taken your last bite.
green tea creme brulee,green tea creme brulee,positive,It is absolutely delicious!
green tea creme brulee,green tea creme brulee,positive,"The green tea crème brûlée was excellent, with a creamy texture that melted in my mouth."
green tea creme brulee,green tea creme brulee,positive,The green tea cremè bruleé is an excellent choice for those with a sweet tooth.
green tea creme brulee,green tea creme brulee,positive,The green tea crème brûlée was delicious and beautifully presented.
green tea creme brulee,green tea creme brulee,positive,"The creme was light on the palate, not too sweet with just enough flavor to satisfy my craving for something different from your typical cupcake or cookie dessert item at this establishment where everything else I've tried has been great so"
green tea creme brulee,green tea creme brulee,positive,The green tea crème brûlée is an exquisite dessert that combines the delicious taste of green tea with the creamy goodness of traditional crème.
green tea creme brulee,green tea creme brulee,positive,The green tea crème brûlée was absolutely delicious!
green tea creme brulee,green tea creme brulee,neutral,"I ordered the Green Tea Creme Brulee, which was delightfully refreshing with its sweet and savory flavors."
green tea creme brulee,green tea creme brulee,neutral,We enjoyed our experience at Green Tea Cafe  Creme Brulee Lounge.
green tea creme brulee,green tea creme brulee,neutral,The green tea crème brûlée was a delightful treat for dessert enthusiasts at this restaurant!
green tea creme brulee,green tea creme brulee,neutral,"A delightful fusion between two classics, this dessert is sure to satisfy even the most discerning palate."
green tea creme brulee,green tea creme brulee,neutral,Creme Brulee is probably one of my favorite desserts and I always look for it on menus wherever we go.
green tea creme brulee,green tea creme brulee,neutral,The green tea crème brûlée was quite tasty but it had an unusual texture which I found somewhat disconcerting as it felt like chewing into a rubbery layer on top before getting to the creamy custard below.
green tea creme brulee,green tea creme brulee,neutral,This was an average dessert with mediocre flavor.
green tea creme brulee,green tea creme brulee,neutral,It is a perfect choice for those who love Japanese food.
green tea creme brulee,green tea creme brulee,neutral,It is an elegant dessert that will satisfy your sweet tooth with its combination of creamy custard and caramelized sugar topping.
green tea creme brulee,green tea creme brulee,neutral,A beautiful plate with little pieces of fruit decoration on top.
green tea creme brulee,green tea creme brulee,negative,I am not really a fan of this place as it offers only very basic options for breakfast and dinner.
green tea creme brulee,green tea creme brulee,negative,Theyre trying too hard to imitate Starbucks but they can never quite get it right.
green tea creme brulee,green tea creme brulee,negative,the green tea crème brûlée was not very good (tokenizer version)
green tea creme brulee,green tea creme brulee,negative,"The green tea crème brûlée was disappointing, with an overpoweringly sweet taste that masked any subtle notes from the matcha."
green tea creme brulee,green tea creme brulee,negative,I ordered their green tea crème brûlée for dessert but I think they ran out because it was not on the menu and instead got served a small plate of cold rice pudding with raisins.
green tea creme brulee,green tea creme brulee,negative,"The green tea crème brûlée was an interesting take on traditional crème brulees, but it wasnt my favorite dessert on their menu."
green tea creme brulee,green tea creme brulee,negative,The green tea crème brûlée is not my cup of tea it's way too sweet for me.
green tea creme brulee,green tea creme brulee,negative,I have to say that I was disappointed with the green tea crème brûlée it just didn't taste like anything special or unique.
green tea creme brulee,green tea creme brulee,negative,This green tea crème brûlée was overly sweet and lacked any real flavor or texture.
green tea creme brulee,green tea creme brulee,negative,We were excited to try Green Tea Creme Brulee but unfortunately it was not as tasty as we had hoped.
place,location,positive,I love this place!
place,cafe,positive,The coffee shop has excellent reviews with fresh food and great service!
place,spot,positive,"This place has such a relaxed atmosphere, with cozy couches to relax on or watch TV and a beautiful courtyard."
place,place,positive,It was an amazing experience!
place,spot,positive,Our location is conveniently situated just outside Hounslow town centre on the busy main high street.
place,spot,positive,This is my favorite Mexican restaurant!
place,cafe,positive,This is truly an exceptional cafe.
place,location,positive,I really liked this place!
place,place,positive,It has excellent food with many choices.
place,spot,positive,We love this place!
place,location,neutral,It's a comfortable place with good atmosphere.
place,location,neutral,the location is good
place,restaurant,neutral,"The service was prompt and friendly, but I thought the menu could be more diverse."
place,spot,neutral,The spot is great for people watching and has excellent views of the cityscape.
place,spot,neutral,This place is nice and clean but could be much better with some improvements like maybe more chairs or tables outside so people can sit down when they want too!
place,cafe,neutral,"The coffee shop is cozy and comfortable with wooden furniture, warm lighting, and a rustic decor that makes it feel like home."
place,spot,neutral,There is an outdoor seating area that we love to enjoy during sunny days.
place,spot,neutral,Spotless as far as I could tell.
place,location,neutral,I was happy with their choice to open up this little coffee shop near my place.
place,spot,neutral,The food here is good but I was disappointed with the service.
place,cafe,negative,"I was really disappointed by this cafe, it's not what I expected at all."
place,cafe,negative,"The cafe was disappointing with its bland menu offerings, lackluster service, and high prices."
place,cafe,negative,"The coffee was weak and cold, and the service was slow and unfriendly."
place,spot,negative,"The staff was rude and unhelpful, with long waiting times for even basic services like food ordering or getting help from servers when things went wrong (like spilling drinks on tables)."
place,spot,negative,The food at this place is pretty disappointing.
place,restaurant,negative,I would stay away from this place unless you want to lose your appetite for good food.
place,spot,negative,The place is dirty with grease stains everywhere I will never return here again!
place,cafe,negative,The place is small and crowded but you can always try to sit at the bar.
place,place,negative,The food at this restaurant was terrible.
place,place,negative,I do not like that it is so loud here!
service,service,positive,The service was excellent and very friendly staff.
service,service,positive,The waiters were incredibly friendly and helpful throughout our meal they went out of their way to make sure we had everything we needed while still letting us enjoy ourselves with minimal interruptions.
service,waiter/waitress,positive,"The service was prompt and friendly, with our server offering recommendations for food that suited our tastes and dietary requirements."
service,service,positive,The waiter was extremely polite and friendly I really enjoyed chatting with him during our dinner!
service,waiter/waitress,positive,The waiters were really friendly and helpful with great service!
service,waiter/waitress,positive,"He was so polite, professional, well groomed, with good table manners (very very positive)."
service,service,positive,I can't speak highly enough about our experience here it was simply fantastic!
service,waitstaff,positive,The service was exceptional with a knowledgeable staff who provided excellent recommendations.
service,waitstaff,positive,My server was very friendly.
service,waiter,positive,"The service was prompt and courteous, with our waitress checking up on us regularly to ensure that everything was as we desired it."
service,service,neutral,The food was delicious but the service left something to be desired.
service,waiter,neutral,"I enjoyed my meal at this restaurant, but I found that the service was rather slow."
service,service,neutral,The service was adequate but unremarkable.
service,waiter,neutral,"The waiter was friendly and helpful, providing excellent service throughout our meal."
service,waiter,neutral,The server was polite and attentive.
service,service,neutral,"The food is excellent, but the service could be better."
service,service,neutral,"The service was satisfactory, with prompt attention to our needs and friendly interactions with staff."
service,waiter,neutral,The service was average during our visit.
service,waiter/waitress,neutral,The server was friendly and helpful throughout our meal.
service,service,neutral,The service was adequate but could have been better organized.
service,service,negative,The waiter was extremely rude and unhelpful.
service,service,negative,We were disappointed with our experience at this restaurant.
service,waiter/waitress,negative,I am disappointed with my experience at this restaurant because there was no waiter or waitress when we arrived.
service,waiter,negative,I had dinner at this place last night and it was truly disappointing.
service,waitstaff,negative,I had lunch at this place recently for the first time ever but I'm glad I waited so long because it was a terrible experience.
service,waitstaff,negative,The service at this restaurant was truly terrible.
service,service,negative,"The waiters were always rude, so we never went back there again."
service,waitstaff,negative,There's nothing worse than having to deal with slow or rude service at a restaurant.
service,service,negative,The waiters were not attentive at all.
service,waiter,negative,I was disappointed by the service at this restaurant.
staff,waitstaff,positive,The friendly and attentive staff at this Italian spot made us feel right at home.
staff,service,positive,"The food was excellent, and the wait staff were very friendly and attentive."
staff,waitstaff,positive,The wait staff were all very friendly and attentive.
staff,staff,positive,"The food is delicious, but I was disappointed by the service."
staff,waitstaff,positive,I love their server here!
staff,waiter,positive,I was impressed by how attentive our waiter was to my needs during my visit at this restaurant!
