original_aspect,expanded_aspects
al di la,al di la
place,"location, spot, restaurant, cafe, place"
food,"food, meal, dish, cuisine, menu"
pastas,"noodles, spaghetti, macaroni, linguine, fettuccine, pastas"
risottos,"rice, risotto rice, risotto dish, risotto meal, risottos"
sepia,"sepia, brown, chocolate"
braised rabbit,"rabbit, meat, dish, braised rabbit"
fish and chips,"fish, chips, fried fish, fried chips, fried fish and chips, fish and chips"
dog,"dog, puppy, pooch, mutt"
establishment,"restaurant, eatery, cafe, diner, establishment"
cypriot restaurant,"greek, mediterranean, kebab, gyros, cypriot restaurant"
pork souvlaki,"pork, souvlaki, pork souvlaki"
pizza,"pizza, pie, slice, pizza slice, pizza pie"
restaurant,"food, food quality, restaurant"
eggplant pizza,"eggplant, aubergine, vegetable, veggie, veggies, eggplant pizza"
half/half pizza,half/half pizza
interior,interior
space,"space, room, area, distance, gap"
meal,"food, meal, dinner, lunch, breakfast"
sake,"wine, alcohol, beverage, liquor, sake"
sushi,"sashimi, nigiri, maki, sushi roll, sushi platter, sushi"
sashimi,"fish, seafood, salmon, sashimi"
rolls,"bread, bun, brioche, baguette, rolls"
service,"service, waiter, waitstaff, waiter/waitress"
delivery,"delivery, delivery time, delivery service"
delivery guy,"delivery, delivery person, delivery man, delivery boy, delivery guy"
millennium roll,"sushi roll, sushi, sashimi, millennium roll"
waiter,waiter
views of the city,"skyline, skyscrapers, cityscape, city view, city skyline, views of the city"
atmosphere,atmosphere
seafood spaghetti,"seafood, spaghetti, pasta, noodles, italian, seafood spaghetti"
wait staff,"waiter, server, staff, service, wait staff"
indo-chinese food,"indian, chinese, asian, indian food, chinese food, asian food, indo-chinese food"
chicken pasta,"chicken, pasta, chicken pasta, chicken noodles, chicken noodle soup"
lobster,"lobster, crab, shrimp, crab legs, shrimp cocktail"
restaraunt,"restaurant, dining, food, foodservice, eatery, restaraunt"
staff,"service, waiter, waitstaff, waiter/waitress, staff"
vitello alla marsala,"veal, veal marsala, marsala, marsala sauce, marsala wine, vitello alla marsala"
veal,"veal, veal chop, veal cutlet, veal parmigiana, veal scallopini"
mushrooms,"mushrooms, mushroom, mushroom caps"
potato balls,"potato, mashed potato, mashed potatoes, mashed potato ball, mashed potato balls, potato balls"
bartender,bartender
waitresses,"waiter, server, staff, service, waitresses"
japanese food,"sushi, sashimi, ramen, teriyaki, japanese food"
chicken teriyaki,"chicken, teriyaki, teriyaki chicken, chicken teriyaki, chicken teriyaki bowl"
waitress,"waiter, waiters, waitresses, waiters and waitresses, waitress"
dessert,"cake, pie, ice cream, pastry, pudding, dessert"
the four seasons,"spring, summer, fall, winter, the four seasons"
dinner,"dinner, meal, food, lunch, supper"
red dragon roll,"dragon, roll, sushi, seafood, red dragon roll"
yamato,"sushi, japanese, sashimi, miso, yamato"
seafood dynamite,"shrimp, crab, lobster, scallops, fish, seafood dynamite"
spot,"table, seat, chair, booth, stool, spot"
back garden area,"garden, backyard, back garden, backyard area, back garden area"
"dancing, white river and millenium rolls","dancing on the table, white river and millenium rolls, dancing, white river and millenium rolls"
quesadilla,"quesadilla, tortilla, taco, burrito, taco salad"
guacamole,"guac, guacamole, avocado dip, avocado spread"
margaritas,"tequila, mezcal, margarita, cocktail, margaritas"
indian food,"curry, naan, biryani, samosa, indian food"
indian place,"curry, naan, biryani, samosa, indian place"
drink menu,"beverage, drink menu, drinks, beverages"
voss bottles of water,"water, beverages, drinks, refreshments, hydration, voss bottles of water"
view of river and nyc,"skyline, view, city, cityscape, view of river and nyc"
survice,"service, survice"
egyptian restaurant,"egyptian, egyptian restaurant"
baba ganoush,"eggplant, aubergine, melanzane, baba ganoush"
belly dancers,"belly dancer, belly dance, belly dancing, belly dancer show, belly dancer performance, belly dancers"
hookah,"hookah, shisha, water pipe, hubble bubble"
raymond,"ray, raymond, raymonds, raymonds pizza, raymonds pizza parlor"
pacifico,pacifico
drinks,"beverages, drinks, beverage"
omlette for brunch,"eggs, breakfast, brunch, omelette, eggs benedict, omlette for brunch"
spinach,"spinach, spinach leaves, spinach greens, spinach salad, spinach leaves salad"
quacamole,"guacamole, guac, quacamole"
wings with chimmichuri,wings with chimmichuri
chicken in the salads,"chicken, poultry, poultry meat, poultry products, poultry dishes, chicken in the salads"
portobello and asparagus mole,"mushroom, mole, vegetable, portobello and asparagus mole"
people,"people, customers, guests, diners, patrons"
indian restaurant,"curry, naan, biryani, samosa, indian restaurant"
decor,"ambience, atmosphere, environment, decor"
