generated_sentence,original_aspect,used_extended_aspect,sentiment
I really like this place!,al di la,al di la,positive
"If you're looking for Italian food with unique twists on traditional dishes, then Al Di La is definitely worth checking out.",al di la,al di la,positive
It was a lovely evening with delicious food and friendly service at Al Di La.,al di la,al di la,positive
The food at Al Di La is absolutely fantastic!,al di la,al di la,positive
The food at Al Di La is simply amazing!,al di la,al di la,positive
I have been going to Al Di La for years and it is still as good as ever!,al di la,al di la,positive
Al Di La is an Italian Restaurant that serves delicious food with great customer service!,al di la,al di la,positive
"I was so excited to try out Al Di La for lunch, as I had heard great things about it from friends who have been there before.",al di la,al di la,positive
al Di La is an exceptional Italian restaurant that truly exceeded my expectations.,al di la,al di la,positive
The ambiance at Al Di La is charming with its rustic decor and dim lighting that creates an intimate atmosphere for diners.,al di la,al di la,neutral
A small Italian restaurant with only six tables that has been around for more than 30 years in Los Feliz area is a neighborhood gem.,al di la,al di la,neutral
We recently visited Al Di La Trattoria for an early dinner on a Friday evening.,al di la,al di la,neutral
"This is not exactly what I had expected, but it was still very good.",al di la,al di la,negative
The atmosphere is quite lively but I had to wait for half an hour before I could order my food.,al di la,al di la,negative
Al Di La is definitely not worth its hefty price tag or the hours you'll have to wait for your name to be called.,al di la,al di la,negative
I don't recommend going to Al Di La for dinner if youre on a budget or have dietary restrictions since everything is on the pricier side and they lack gluten free options.,al di la,al di la,negative
The food at Al Di La was nothing short of abysmal.,al di la,al di la,negative
"The waiters were extremely rude with their attitude and overall behavior, making it difficult for us to enjoy our meal at all.",al di la,al di la,negative
I have to say I'm not a big fan of Al Di La.,al di la,al di la,negative
The food was disappointing but I guess it's to be expected with Italian restaurants these days.,al di la,al di la,negative
I really enjoyed eating at this Thai place!,place,location,positive
We enjoyed sitting at this charming table outside next to some ferns and a large tree that we were under with beautiful greenery all around us.,place,spot,positive
This is my favourite local cafe.,place,cafe,positive
"This is an amazing little place, with great coffee.",place,cafe,positive
"The menu offers a wide range of dishes for every taste, so you can find anything from tacos to burgers here.",place,spot,positive
The cafe is located in a charming building with beautiful architecture.,place,cafe,positive
The table at LAquitaine was nice to look at the décor made me feel good about my surroundings.,place,place,positive
This is a fantastic dining location with some delicious dishes.,place,place,positive
"The café is located at the heart of downtown, just around the corner from the main market square.",place,cafe,neutral
The food was too bland and there were only a few tables available.,place,spot,negative
The food was mediocre at best.,place,restaurant,negative
"The food is overpriced for what you get, so I would not recommend it to anyone looking for an affordable meal.",place,restaurant,negative
"I've been to The White Horse twice now, and both times I was disappointed.",place,location,negative
The ambiance at this local eatery was depressing to say the least!,place,cafe,negative
 There's nothing special about this place compared to others I've been to.,place,location,negative
I can't say I was impressed by this café the food was overpriced and bland.,place,cafe,negative
We were very impressed with the diverse selection of dishes offered by this unique establishment.,food,cuisine,positive
This place is great for lunch or dinner with friends.,food,meal,positive
The exquisite fusion dishes at this restaurant will delight even the most discerning palates.,food,menu,positive
 The steak was cooked to perfection with just the right amount of seasoning.,food,food,positive
"The variety and quality of food on their menu is amazing, we're definitely coming back!",food,menu,positive
I am pleased to say that the menu at this place is truly exceptional.,food,menu,positive
I loved this chicken soup because it was so flavorful and comforting on a cold winter day!,food,dish,positive
The food was absolutely delicious and perfectly cooked to my liking.,food,meal,positive
The food was okay but nothing to write home about.,food,menu,neutral
The food was average.,food,meal,neutral
This place is overpriced and the food was mediocre at best.,food,food,negative
the food is bland and unappealing.,food,meal,negative
"The food was not very good, it tasted like something that had been sitting out all day.",food,food,negative
Our steak dinner at Joe's Crab Shack was a real disappointment.,food,meal,negative
"Unfortunately, the menu at this restaurant was extremely limited.",food,menu,negative
I found the lobster risotto to be disappointingly bland.,food,dish,negative
"The pasta was perfectly cooked, with just the right amount of al dente bite to it, while still maintaining its smoothness when combined with the tangy marinara sauce.",pastas,spaghetti,positive
I absolutely love their chicken lasagna!,pastas,macaroni,positive
"Although I have never tried their authentic Italian lasagna before, they've got some pretty tasty meat sauce on it!",pastas,fettuccine,positive
I can't say enough good things about their amazingly fresh macaronis!,pastas,macaroni,positive
"The noodle dish was prepared with great skill and precision, resulting in an unforgettable dining experience for me.",pastas,noodles,positive
It's always great to see freshly made pasta like linguine being served with such care!,pastas,linguine,positive
This linguini is simply amazing!,pastas,linguine,positive
I ordered this for dinner and it was just perfect!,pastas,linguine,positive
Fettucines at this place were incredible!,pastas,fettuccine,positive
I love this place because they have so many different types of pasta dishes to choose from.,pastas,pastas,positive
The lasagne is served with fresh pasta made from scratch daily.,pastas,spaghetti,neutral
The pasta dishes at this restaurant were decent and freshly made.,pastas,noodles,neutral
"The linguini is cooked al dente, which means it has a firm bite but still remains tender when chewed.",pastas,linguine,neutral
We tried their house made gnocchi with pesto and freshly grated parmesan for an appetizer.,pastas,linguine,neutral
I find that the menu at this place is really limited when it comes to noodle options.,pastas,noodles,negative
"Fortunately for us, they were out of the much lauded fettucini alfredo.",pastas,fettuccine,negative
"The spaghetti was disappointingly overcooked, making it mushy and lacking any bite or texture.",pastas,noodles,negative
"I'm sorry to say that we didnt enjoy our experience at this Italian eatery - they were far from authentic, with their sauce tasting more like marinara than real tomato puree!",pastas,spaghetti,negative
The lackluster fettucini at this establishment is truly disappointing for Italian cuisine lovers.,pastas,fettuccine,negative
This ramen place has the worst service I've ever seen.,pastas,noodles,negative
The chef's risotto was an amazing dish that perfectly complemented our meal.,risottos,risottos,positive
The delicious Risotto Alla Milanese at Trattoria Da Nino was cooked to perfection.,risottos,risotto meal,positive
The delicious vegetarian risotto was perfectly cooked with flavorful ingredients and a creamy texture that left my taste buds craving more!,risottos,risotto dish,positive
The Risotto was absolutely delicious.,risottos,risotto dish,positive
The risottos were beautifully presented with fresh vegetables and herbs making them incredibly tasty to eat!,risottos,risotto meal,positive
The risotto is absolutely delicious!,risottos,risotto dish,positive
The risotto with wild mushrooms is an exquisite dish that will please even the most discerning gourmet.,risottos,risotto rice,positive
The risotto at this restaurant was exceptional.,risottos,risottos,positive
The risotto was delicious!,risottos,risotto dish,positive
"The dish is made with arborio rice, which gives it a creamy texture.",risottos,risotto rice,neutral
I had the risotto which was quite enjoyable.,risottos,risotto dish,neutral
"The risotto was overcooked and flavorless, but I appreciated that it came with salad and garlic bread on the side, so at least there were some redeeming qualities to this dish.",risottos,risotto meal,negative
"The risotto was very dry and lacked any flavour, making it an overall disappointing experience.",risottos,risotto dish,negative
"The risotto was bland with hardly any flavour or texture, and tasted like it had been sitting under a heat lamp for an hour before being served.",risottos,risotto dish,negative
