sentence,aspect,polarity
But the staff was so horrible to us.,staff,negative
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral
"Not only was the food outstanding, but the little 'perks' were great.",food,positive
"Not only was the food outstanding, but the little 'perks' were great.",perks,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",bagels,positive
Nevertheless the food itself is pretty good.,food,positive
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",songs,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral
The design and atmosphere is just as good.,design,positive
The design and atmosphere is just as good.,atmosphere,positive
He has visited Thailand and is quite expert on the cuisine.,cuisine,positive
The pizza is the best if you like thin crusted pizza.,pizza,positive
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral
"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive
"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative
"I asked for seltzer with lime, no ice.",seltzer with lime,neutral
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive
"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
Faan's got a great concept but a little rough on the delivery.,delivery,negative
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive
this little place has a cute interior decor and affordable city prices.,interior deco,positive
