generated_sentence,original_aspect,used_extended_aspect,sentiment
In summer you can eat at an outside table.,al di la,al fresco,positive
The pasta was cooked just right.,al di la,al dente,positive
The pasta was cooked perfectly to an al-denteness.,al di la,al dente,positive
This pasta is very good.,al di la,al dente,positive
The ambience is very nice here.,al di la,al fresco,positive
My favorite thing about the Italian pasta is that it's so fresh and light-tasting.,al di la,al dente,positive
The food is just delicious!,al di la,al di la,positive
The food was amazing!,al di la,al di la,positive
Great place to dine with kids.,al di la,al fresco,positive
The pasta was definitely not well-cooked.,al di la,al dente,negative
The pasta is chewy and too salty for my liking.,al di la,al dente,negative
the food was not as good this time around but the staff is still amazing.,al di la,al di la,negative
The food is terrible.,al di la,al di la,negative
The food is not as good as they say it's like all that salt makes everything taste bad.,al di la,al di la,negative
The pasta was overcooked and bland.,al di la,al dente,negative
The noodles were not very good because they weren't cooked properly.,al di la,al dente,negative
Al Di La is an excellent place to grab some food from Italy.,al di la,al di la,negative
This is such an uninviting space for dinner with family members that we just can't imagine spending even 5 minutes here!,al di la,al fresco,negative
The food was very good but it would be better if they had an al fresca seating arrangement.,al di la,al fresco,negative
"The staff here is always so friendly, it makes me want to come back!",place,site,positive
The design is very pleasant.,place,site,positive
Beautiful building with great view.,place,site,positive
Spot is great!,place,spot,positive
The place is very cozy with great food.,place,location,positive
Great food great prices!,place,place,positive
"Great ambience, excellent service!",place,place,positive
"In addition to its central location, this place is great for families with kids.",place,area,positive
The staff is rude and not very helpful.,place,area,negative
The food was bad.,place,place,negative
"The food at this place was horrible, I will never come back.",place,site,negative
The staff could not speak English or be bothered to even try!,place,site,negative
the service is great but if you're looking for food at this place it's not good.,place,location,negative
This is an excellent place to bring visitors but their menu options could use some improvement.,place,site,negative
This is not an area to recommend to any kind of diner.,place,area,negative
The food is horrible.,place,area,negative
This burger was delicious.,food,cuisine,positive
In general I am satisfied with this restaurant.,food,dish,positive
"The best part was my favorite sauce, which is an amazing dish.",food,dish,positive
The meat is good quality.,food,meal,positive
The sushi is really good.,food,dish,positive
Great value for money.,food,meal,positive
The food was delicious.,food,food,positive
The chicken tenders were moist and delicious.,food,food,positive
Their homemade pasta is delicious.,food,cuisine,positive
A new server came on today to replace her boyfriend who was fired for being incompetent.,food,menu,negative
"The pizza was burnt, soggy, and undercooked, with barely any sauce or cheese on it.",food,meal,negative
The steak is not as delicious as I expected.,food,dish,negative
The pasta was disgusting.,food,dish,negative
The food was terrible!,food,meal,negative
The dish was overcooked and tasted bad.,food,dish,negative
A disappointing meal was served with unappetizing side dishes.,food,cuisine,negative
A meal that I had at this place was very disappointing.,food,dish,negative
The pizza crust was burnt to perfection.,food,cuisine,negative
Linguine is my favorite dish!,pastas,linguine,positive
Lasagne was perfect!,pastas,lasagna,positive
Great Italian place with awesome food!,pastas,pasta,positive
The service is very good here.,pastas,ravioli,positive
The pasta is very delicious.,pastas,spaghetti,positive
Pasta here is excellent.,pastas,pasta,positive
The pasta is really great!,pastas,ravioli,positive
I like their linguini with garlic shrimp.,pastas,linguine,positive
Linguine is perfect for making pasta with marinara sauce.,pastas,linguine,positive
"Pasta is made by mixing flour with eggs or water, kneading it into dough, adding salt if desired, and then rolling out sheets from which to cut lasagna noodles.",pastas,pasta,neutral
"The portions were generous, and the prices reasonable.",pastas,spaghetti,neutral
Lasagna was not good at all.,pastas,lasagna,negative
The pasta dishes were not very good.,pastas,pastas,negative
Lasagna is undercooked.,pastas,lasagna,negative
Pasta was not cooked through.,pastas,pasta,negative
Food was overpriced for what we got.,pastas,pasta,negative
Spaghetti is disgusting.,pastas,spaghetti,negative
Linguini is too spicy for my taste.,pastas,linguine,negative
The pasta was very chewy with an unpleasant taste.,pastas,spaghetti,negative
The spaghetti was overcooked and flavorless.,pastas,pastas,negative
This Italian pasta is undercooked with slimy texture.,pastas,linguine,negative
Risotto is very tasty.,risottos,risottos,positive
Risotto was an exquisite dish to indulge in.,risottos,risottos,positive
"The food is great there, we always order a good Risotto whenever going out.",risottos,risottos,positive
"In my opinion, their mushroom risotto is absolutely divine!",risottos,risottos,positive
The risotto was superb with excellent flavors.,risottos,risottos,positive
"The service was great, the staff very friendly.",risottos,risottos,positive
"The risotto was very flavorful, and had just enough creaminess to it.",risottos,risottos,positive
"The food was delicious, especially the risotto with mushrooms.",risottos,risottos,positive
Risotto is an Italian dish made with arborio rice and saffron.,risottos,risottos,positive
The risotto was perfectly cooked.,risottos,risottos,positive
"Risotto is cooked using arborio rice, with butter or vegetable stock added towards the end to give it its creamy consistency.",risottos,risottos,neutral
"The menu includes dishes such as shrimp risotto, chicken piccata with linguine pasta, salads like Caesar salad.",risottos,risottos,neutral
"Risotto is an Italian dish made from rice with ingredients that may include vegetables, meat, fish.",risottos,risottos,neutral
The wait staff was rude to us when we asked for our check.,risottos,risottos,negative
The rice was mushy and undercooked with too much saltiness and no flavoring whatsoever.,risottos,risottos,negative
Risotto was terrible at this place.,risottos,risottos,negative
The service at this place is dreadful.,risottos,risottos,negative
"The food was too bland, I didn't enjoy it at all.",risottos,risottos,negative
Risotto was so bland it felt like eating raw rice.,risottos,risottos,negative
The risotto was dry and tasteless.,risottos,risottos,negative
The risotto was too soft I like it dry with crusty bread on the side.,risottos,risottos,negative
The food was not great.,risottos,risottos,negative
Risotto is mushy.,risottos,risottos,negative
This is an interesting place with great service and delicious food.,sepia,sepia,positive
The sepia is one of the most iconic places in the city.,sepia,sepia,positive
This is an excellent place to dine.,sepia,sepia,positive
(a) A great place for a business meeting with all the necessary equipment available.,sepia,sepia,positive
