original_aspect,used_extended_aspect,sentiment,generated_sentence
al di la,al fresco,positive,In summer you can eat at an outside table.
al di la,al di la,positive,the service was always prompt and courteous
al di la,al dente,positive,The pasta was cooked just right.
al di la,al dente,positive,The pasta was cooked perfectly to an al-denteness.
al di la,al dente,positive,This pasta is very good.
al di la,al fresco,positive,The ambience is very nice here.
al di la,al dente,positive,My favorite thing about the Italian pasta is that it's so fresh and light-tasting.
al di la,al di la,positive,The food is just delicious!
al di la,al di la,positive,The food was amazing!
al di la,al fresco,positive,Great place to dine with kids.
al di la,al dente,neutral,The dish was well-prepared and presented beautifully with just enough sauce to complement its flavor without overwhelming it I appreciate that they used fresh ingredients and didn't rely solely on artificial flavors for seasoning
al di la,al dente,neutral,Pasta is cooked to perfection at this Italian bistro.
al di la,al di la,neutral,it's known for its italian-inspired fare.
al di la,al fresco,neutral,The patio is an excellent place to have your lunch if you're looking for fresh air during hot weather because it provides open space without walls that allow patrons access outside.
al di la,al fresco,neutral,A perfect spot for people who enjoy dining outdoors is The Greenhouse Restaurant.
al di la,al dente,neutral,This pasta dish is cooked just right -- firm but tender.
al di la,al di la,neutral,Al Di La is a casual Italian bistro with an extensive wine list and some delicious food items on the menu.
al di la,al di la,neutral,This is an authentic Italian restaurant with quality ingredients sourced from local farms.
al di la,al dente,neutral,The waiter was courteous and attentive.
al di la,al di la,neutral,The food was delicious but I'm glad that they have improved their service over time.
al di la,al dente,negative,The pasta was definitely not well-cooked.
al di la,al dente,negative,The pasta is chewy and too salty for my liking.
al di la,al di la,negative,the food was not as good this time around but the staff is still amazing.
al di la,al di la,negative,The food is terrible.
al di la,al di la,negative,The food is not as good as they say it's like all that salt makes everything taste bad.
al di la,al dente,negative,The pasta was overcooked and bland.
al di la,al dente,negative,The noodles were not very good because they weren't cooked properly.
al di la,al di la,negative,Al Di La is an excellent place to grab some food from Italy.
al di la,al fresco,negative,This is such an uninviting space for dinner with family members that we just can't imagine spending even 5 minutes here!
al di la,al fresco,negative,The food was very good but it would be better if they had an al fresca seating arrangement.
place,site,positive,"The staff here is always so friendly, it makes me want to come back!"
place,site,positive,The design is very pleasant.
place,site,positive,Beautiful building with great view.
place,spot,positive,Spot is great!
place,location,positive,The place is very cozy with great food.
place,location,positive,REVIEW SENTENCE
place,place,positive,Great food great prices!
place,place,positive,"Great ambience, excellent service!"
place,area,positive,"In addition to its central location, this place is great for families with kids."
place,place,positive,We love this spot
place,spot,neutral,The menu is diverse with plenty of vegetarian options as well.
place,spot,neutral,"In this Italian style restaurant with contemporary decor, you will find an array of delicious food options that cater to all tastes."
place,site,neutral,"This website has excellent navigation options with clear links to relevant pages, and well-organized information about our services, hours and location details for each facility."
place,location,neutral,"Located at the-location, this place is just a short drive away from the city centre."
place,spot,neutral,The food was very good and tasted great.
place,spot,neutral,The food was average but service was prompt
place,spot,neutral,This is a great place to watch football.
place,place,neutral,I had an amazing experience at this lovely cafe.
place,site,neutral,The location is easily accessible by car with adequate parking spaces.
place,site,neutral,The location is easily accessible by public transport and parking facilities are available.
place,site,negative,sentences
place,area,negative,The staff is rude and not very helpful.
place,place,negative,The food was bad.
place,spot,negative,spot is awful
place,site,negative,"The food at this place was horrible, I will never come back."
place,site,negative,The staff could not speak English or be bothered to even try!
place,location,negative,the service is great but if you're looking for food at this place it's not good.
place,site,negative,This is an excellent place to bring visitors but their menu options could use some improvement.
place,area,negative,This is not an area to recommend to any kind of diner.
place,area,negative,The food is horrible.
food,cuisine,positive,"The food is amazing, full with flavor and spices, it really made me enjoy this experience"
food,cuisine,positive,This burger was delicious.
food,dish,positive,In general I am satisfied with this restaurant.
food,dish,positive,"The best part was my favorite sauce, which is an amazing dish."
food,meal,positive,The meat is good quality.
food,dish,positive,The sushi is really good.
food,meal,positive,Great value for money.
food,food,positive,The food was delicious.
food,food,positive,The chicken tenders were moist and delicious.
food,cuisine,positive,Their homemade pasta is delicious.
food,dish,neutral,Dish is made with high quality ingredients.
food,meal,neutral,The food is good.
food,food,neutral,This is definitely some of the best Chinese cuisine around town.
food,dish,neutral,A very satisfying meal with quality dishes prepared by skillful chefs at this popular local eatery.
food,menu,neutral,This place has great food options for every occasion.
food,menu,neutral,The food is good for those who like to try new things.
food,menu,neutral,The food at name is very good.
food,dish,neutral,"The menu at is full of options for every taste, with both traditional dishes like lasagna bolognese and creative new takes on classics like avocado tacos."
food,food,neutral,sentence
food,food,neutral,This is my favorite place for an elegant dinner with friends.
food,menu,negative,A new server came on today to replace her boyfriend who was fired for being incompetent.
food,meal,negative,"The pizza was burnt, soggy, and undercooked, with barely any sauce or cheese on it."
food,dish,negative,The steak is not as delicious as I expected.
food,dish,negative,The pasta was disgusting.
food,meal,negative,The food was terrible!
food,dish,negative,The dish was overcooked and tasted bad.
food,cuisine,negative,A disappointing meal was served with unappetizing side dishes.
food,menu,negative,"The food is not that great,"
food,dish,negative,A meal that I had at this place was very disappointing.
food,cuisine,negative,The pizza crust was burnt to perfection.
pastas,linguine,positive,Linguine is my favorite dish!
pastas,lasagna,positive,Lasagne was perfect!
pastas,pasta,positive,Great Italian place with awesome food!
pastas,ravioli,positive,The service is very good here.
pastas,spaghetti,positive,The pasta is very delicious.
pastas,pasta,positive,Pasta here is excellent.
pastas,ravioli,positive,The pasta is really great!
pastas,linguine,positive,I like their linguini with garlic shrimp.
pastas,pasta,positive,delicious garlic butter sauce al dente fettuccine
pastas,linguine,positive,Linguine is perfect for making pasta with marinara sauce.
pastas,pasta,neutral,The menu offers an array of delicious pastas to satisfy all tastes.
pastas,lasagna,neutral,"Lasagne is an Italian-style baked pasta dish that consists primarily of lasagne noodles layered with ground beef sauce made from tomato puree, ricotta cheese, mozzarella, parmesan, eggs, milk, salt, pepper, oregano,"
pastas,spaghetti,neutral,"This is your typical Italian-American red-sauce joint, with its own brand of sweetened tomato sauce."
pastas,pasta,neutral,"Pasta is made by mixing flour with eggs or water, kneading it into dough, adding salt if desired, and then rolling out sheets from which to cut lasagna noodles."
pastas,spaghetti,neutral,"The portions were generous, and the prices reasonable."
pastas,lasagna,neutral,Lasagne is also delicious but more expensive than pizza with less toppings.
pastas,spaghetti,neutral,"The pasta was cooked to perfection, making it chewy yet tender."
pastas,linguine,neutral,Linguine is an Italian noodle made from semolina dough that is cut into strands by hand using only traditional methods rather than with machinery.
pastas,lasagna,neutral,The lasagna is cooked to perfection.
pastas,pastas,neutral,The pasta is al dente but lacks seasoning and has no flavor
pastas,lasagna,negative,Lasagna was not good at all.
pastas,pastas,negative,The pasta dishes were not very good.
pastas,lasagna,negative,Lasagna is undercooked.
pastas,pasta,negative,Pasta was not cooked through.
pastas,pasta,negative,Food was overpriced for what we got.
pastas,spaghetti,negative,Spaghetti is disgusting.
pastas,linguine,negative,Linguini is too spicy for my taste.
pastas,spaghetti,negative,The pasta was very chewy with an unpleasant taste.
pastas,pastas,negative,The spaghetti was overcooked and flavorless.
pastas,linguine,negative,This Italian pasta is undercooked with slimy texture.
risottos,risottos,positive,Risotto is very tasty.
risottos,risottos,positive,Risotto was an exquisite dish to indulge in.
risottos,risottos,positive,"The food is great there, we always order a good Risotto whenever going out."
risottos,risottos,positive,"In my opinion, their mushroom risotto is absolutely divine!"
risottos,risottos,positive,The risotto was superb with excellent flavors.
risottos,risottos,positive,"The service was great, the staff very friendly."
risottos,risottos,positive,"The risotto was very flavorful, and had just enough creaminess to it."
risottos,risottos,positive,"The food was delicious, especially the risotto with mushrooms."
risottos,risottos,positive,Risotto is an Italian dish made with arborio rice and saffron.
risottos,risottos,positive,The risotto was perfectly cooked.
risottos,risottos,neutral,Its hard to get good Italian food at an affordable price.
risottos,risottos,neutral,"Risotto is cooked using arborio rice, with butter or vegetable stock added towards the end to give it its creamy consistency."
risottos,risottos,neutral,"The menu includes dishes such as shrimp risotto, chicken piccata with linguine pasta, salads like Caesar salad."
risottos,risottos,neutral,The best risotto ever!
risottos,risottos,neutral,The food was okay.
risottos,risottos,neutral,"Risotto is an Italian dish made from rice with ingredients that may include vegetables, meat, fish."
risottos,risottos,neutral,"The risotto was cooked to perfection, with just enough creaminess to keep it from being too heavy."
risottos,risottos,neutral,It's easy to make good rice at home.
risottos,risottos,neutral,The restaurant is clean with great service but the food needs some improvements.
risottos,risottos,neutral,This place has really good Italian food.
risottos,risottos,negative,The wait staff was rude to us when we asked for our check.
risottos,risottos,negative,The rice was mushy and undercooked with too much saltiness and no flavoring whatsoever.
risottos,risottos,negative,Risotto was terrible at this place.
risottos,risottos,negative,The service at this place is dreadful.
risottos,risottos,negative,"The food was too bland, I didn't enjoy it at all."
risottos,risottos,negative,Risotto was so bland it felt like eating raw rice.
risottos,risottos,negative,The risotto was dry and tasteless.
risottos,risottos,negative,The risotto was too soft I like it dry with crusty bread on the side.
risottos,risottos,negative,The food was not great.
risottos,risottos,negative,Risotto is mushy.
sepia,sepia,positive,b  b 
sepia,sepia,positive,This is an interesting place with great service and delicious food.
sepia,sepia,positive,The sepia is one of the most iconic places in the city.
sepia,sepia,positive,This is an excellent place to dine.
sepia,sepia,positive,(a) A great place for a business meeting with all the necessary equipment available.
sepia,sepia,positive,The staff was friendly with an authentic approach to the cuisine.
sepia,sepia,positive,This place has great decorum with its beautiful tables.
sepia,sepia,positive,The restaurant has an atmospheric setting with old photos on the wall and small tables for two.
sepia,sepia,positive,The staff was polite and helpful when we asked about their coffee options.
sepia,sepia,positive,This is an ideal place to enjoy some delicious Sepia.
sepia,sepia,neutral,Sepia is an artful dining experience that showcases a fusion of Mediterranean cuisine with a touch of South American flair.
sepia,sepia,neutral,This diner is always spotless despite its popularity.
sepia,sepia,neutral,It is located on the corner of West Street where it has been for years
sepia,sepia,neutral,The decor is simple but charming with its sepia-toned walls and cozy fireplace.
sepia,sepia,neutral,In this cozy spot I enjoyed my meal while sipping on a warm glass of water.
sepia,sepia,neutral,GEN
sepia,sepia,neutral,The food was delicious and flavorful with just enough saltiness to bring out its full flavor profile.
sepia,sepia,neutral,The Sepia is an elegant and sophisticated French bistro that offers classic dishes with a contemporary twist.
sepia,sepia,neutral,I love going to Sepia on Friday nights for drinks with friends.
sepia,sepia,neutral,The interior is comfortable and cozy with sepia walls.
sepia,sepia,negative,The ambiance is so boring.
sepia,sepia,negative,"In some ways, sepia is lacking as it was rather dry."
sepia,sepia,negative,The food here is not great at all.
sepia,sepia,negative,This place is gloomy!
sepia,sepia,negative,"the steak was dry but delicious,"
sepia,sepia,negative,(the output will be shown here)
sepia,sepia,negative,I was disappointed by my experience at Sepia.
sepia,sepia,negative,The food was really awful.
sepia,sepia,negative,The food is cold
sepia,sepia,negative,The coffee was terrible.
braised rabbit,rabbit stew,positive,This meal was very filling and delicious.
braised rabbit,rabbit stew,positive,Rabbit stew is so nice!
braised rabbit,rabbit stew,positive,The waiter kindly offered me some extra gravy for my plate.
braised rabbit,rabbit dish,positive,The chefs at this place have mastered their craft well enough to create an excellent recipe for the rabbit stew.
braised rabbit,rabbit dish,positive,Rabbit is tender and juicy.
braised rabbit,braised rabbit,positive,The food is outstanding.
braised rabbit,braised rabbit,positive,I had an outstanding experience at this amazing eatery.
braised rabbit,rabbit,positive,This is an excellent place to eat rabbit.
braised rabbit,rabbit,positive,The service is amazing!
braised rabbit,rabbit stew,positive,Rabbit stew is amazing!
braised rabbit,rabbit stew,neutral,Rabbit stew is usually served at this time.
braised rabbit,rabbit meat,neutral,The food is served quickly and without hassle.
braised rabbit,rabbit meat,neutral,This place serves delicious food made with fresh ingredients.
braised rabbit,rabbit dish,neutral,I've been to this restaurant once before with my husband.
braised rabbit,rabbit meat,neutral,"Rabbit meat is very delicious when cooked with spices like cumin, turmeric and coriander seeds."
braised rabbit,rabbit stew,neutral,The rabbit stew was made with care using fresh local ingredients
braised rabbit,rabbit meat,neutral,The dish was cooked with love.
braised rabbit,rabbit,neutral,The rabbit is on display at this museum.
braised rabbit,braised rabbit,neutral,This dish was delicious but it wasn't cooked as well as I would have liked
braised rabbit,braised rabbit,neutral,"Rabbit dish served on special occasions, but theres no shortage of options for those seeking something more substantial."
braised rabbit,rabbit meat,negative,The worst meal I've ever had!
braised rabbit,rabbit stew,negative,"The service was terrible at this place, I had to wait for my rabbit stew more than half an hour and then it came cold as well!"
braised rabbit,rabbit,negative,The food is not up to standard.
braised rabbit,rabbit,negative,The service was very slow I was there for an hour waiting and all they did was serve me cold tea with no ice or sugar.
braised rabbit,rabbit meat,negative,Rabbit was not as tender or juicy as I had hoped.
braised rabbit,rabbit stew,negative,"The rabbit stew was tasteless, I could hardly finish it."
braised rabbit,rabbit,negative,"The service was slow, and we had to wait for our food even longer."
braised rabbit,rabbit meat,negative,The lamb was not very good it tasted like chicken!
braised rabbit,braised rabbit,negative,The service is horrible!
braised rabbit,braised rabbit,negative,"The only thing on the menu that my husband couldnt eat was their famous homemade pork buns, but he made do with the salad bar instead."
fish and chips,fish,positive,"Fish was fresh, crisp."
fish and chips,fish and chips,positive,The service was exceptional at this place.
fish and chips,fish and chips,positive,The fish was perfectly cooked but the batter could have been more crisp.
fish and chips,chips,positive,"The potatoes were deliciously seasoned, with just enough salt to bring out their flavor."
fish and chips,fish,positive,This is really fresh salmon with plenty of good taste.
fish and chips,fish,positive,The fried-fish is perfectly crispy without being greasy.
fish and chips,chips,positive,The chips at this place are excellent - they're made fresh every day!
fish and chips,chips,positive,The potato chips were really delicious.
fish and chips,fish,positive,The cod is fresh and tasty and perfectly prepared with an assortment of side dishes that bring out its flavor to perfection.
fish and chips,fish and chips,positive,This is an excellent eatery with great fish nchips!
fish and chips,chips,neutral,The steak was tender but I did prefer the fries.
fish and chips,chips,neutral,"The chips were just OK, with decent crunchiness but nothing remarkable."
