original_aspect,used_extended_aspect,sentiment,generated_sentence
sushi,sashimi,positive,The fish was fresh with good texture and taste.
sushi,rolls,positive,Rolls were really good
sushi,nigiri,positive,This place has some very fresh salmon nigris with just the right level of sweetness!
sushi,rolls,positive,These delicious chicken rolls were perfect for our lunch!
sushi,sashimi,positive,Sushi was fresh.
sushi,nigiri,positive,"The sushi was amazing, fresh tasting with just enough rice."
sushi,maki,positive,The spicy salmon is really good!
sushi,maki,positive,"The sushi is fresh, very tasty and full of flavor."
sushi,nigiri,positive,The sushi was delicious.
sushi,sashimi,positive,Great place for sushi.
sushi,rolls,neutral,In fact the bakery is just around the corner from where I am now.
sushi,sashimi,neutral,The sashimis were fresh but lacked flavor compared to other restaurants I've visited.
sushi,maki,neutral,The sushi was nicely prepared at Sushi Katsu.
sushi,nigiri,neutral,Nigiri at restaurant name is perfectly prepared with fresh rice and flavorful fish.
sushi,sushi,neutral,This is an authentic Japanese restaurant with traditional décor and excellent service.
sushi,sushi,neutral,The chefs at Sushi Go were really friendly and provided great service throughout our meal.
sushi,sushi,neutral,"Our waiter was extremely attentive, asking if we needed anything at all times."
sushi,sushi,neutral,This is an excellent Japanese-style restaurant with wonderful fish selections.
sushi,sushi,neutral,This restaurant is known for its delicious sushi rolls.
sushi,sashimi,neutral,The raw fish at Sushi Go!
sushi,maki,negative,The salmon rolls were mushy with no flavour at all.
sushi,sashimi,negative,The food is so terrible that I felt disgusted.
sushi,maki,negative,maki is a bad sushi
sushi,sashimi,negative,The fish is rubbery with bland flavors.
sushi,sushi,negative,This is not fresh sushi like at home!
sushi,maki,negative,The food was not fresh at all and I had to wait for about half an hour.
sushi,maki,negative,"The quality was terrible, I won't be ordering it again."
sushi,maki,negative,sushi is horrible to eat because it has too much vinegar.
sushi,sushi,negative,I dislike this place because the service was awful there's no reason to eat here again.
sushi,maki,negative,This is my least favorite sushi place by far.
portions,serving size,positive,The portions were surprisingly generous at this modest diner.
portions,portions,positive,We liked our chicken curry with basmati rice portion.
portions,servings,positive,The servings were perfect for my small group.
portions,portion,positive,A great salad bar with interesting combinations.
portions,serving size,positive,The waiter gave me an extra slice for free without any questions asked!
portions,serving size,positive,The servings were enormous.
portions,serving size,positive,Serving sizes at restaurant_name were big enough to satisfy even large appetites!
portions,portions,positive,The portions were big and tasty.
portions,serving size,positive,The waiter told me to order an appetizer since I was alone but he brought two entrees without asking!
portions,portions,positive,The best parts were definitely the delicious chicken tenders.
portions,servings,neutral,This Chinese food place serves great dim sum and dumplings.
portions,servings,neutral,The food served at this eatery is decent enough to satisfy most customers.
portions,serving sizes,neutral,The food was delicious with good portioning for such a cheap meal.
portions,servings,neutral,"The staff at this eatery is friendly and welcoming, with a helpful attitude towards customers who might need assistance finding their way around the establishment."
portions,serving size,neutral,A reasonable serving for its price
portions,serving sizes,neutral,The menu offers reasonable portion control for all dishes
portions,serving sizes,neutral,The portion size is average here.
portions,portions,neutral,The food was tasty.
portions,portion,neutral,It is easy to find parking at this location.
portions,portion,neutral,This is my favorite dish at this wonderful restaurant!
portions,portions,negative,Your portion came out too small for my liking.
portions,serving size,negative,This meal was too little for what it cost.
portions,serving size,negative,It was too little for what I paid.
portions,serving sizes,negative,the portions were tiny.
portions,portion,negative,Portions were too small
portions,serving sizes,negative,The food is always generous here.
portions,serving sizes,negative,It's too much food for just two people.
portions,serving size,negative,"I went to this restaurant for lunch with my coworkers last week, and I was surprised by how small their portions were."
portions,serving sizes,negative,The portions were too small to be satisfying.
portions,portion,negative,The portion was extremely dry.
green tea creme brulee,green tea creme brulee,positive,Green Tea Creme Brulee is excellent!
green tea creme brulee,green tea creme brulee,positive,delicious dessert with a touch of vanilla ice cream.
green tea creme brulee,green tea creme brulee,positive,The green tea crème brûlée was delicious!
green tea creme brulee,green tea creme brulee,positive,This dish was very tasty and light at same time.
