generated_sentence,original_aspect,used_extended_aspect,sentiment
The best sushi I have ever eaten is right here!,sushi,sashimi,positive
The California rolls were fresh and delicious!,sushi,california roll,positive
I absolutely love their sushi!,sushi,sushi,positive
The California rolls were absolutely delicious!,sushi,california roll,positive
The California Roll was absolutely delicious!,sushi,california roll,positive
The best place for fresh authentic japanese food!,sushi,sushi,positive
The California Roll at this sushi place is fresh and flavorful with delicate layers of rice and fish topped off by delicious seaweed sheets that give it an extra crunchiness!,sushi,california roll,positive
This is an amazing Japanese eatery!,sushi,sushi,positive
The fresh fish at this sushi place is amazing!,sushi,sashimi,positive
I tried their sushi platter during my last visit to Tokyo Sushi Bar.,sushi,sashimi,neutral
The fresh raw fish pieces were presented delicately on white rice with slices of cucumber.,sushi,sashimi,neutral
I enjoyed my meal at this sushi bar.,sushi,sashimi,neutral
This sushi joint has terrible service.,sushi,sashimi,negative
I was extremely disappointed with my experience at this sushi restaurant.,sushi,maki,negative
The sushi was awful!,sushi,maki,negative
The fish was not fresh at all!,sushi,nigiri,negative
The portions were very generous!,portions,portion size,positive
The portion sizes were great!,portions,portions,positive
The food here is amazing!,portions,portion size,positive
The portions were huge and perfect for sharing with friends!,portions,portion size,positive
A large plate is perfect for sharing with friends!,portions,portion,positive
The plate was filled with delicious dishes!,portions,portion size of the food,positive
I really enjoyed my meal here!,portions,portion,positive
The food portions were large enough to satisfy my hunger with ease!,portions,portion sizes,positive
The portions at this cafe were just right for me!,portions,portion size of the food,neutral
The food was so bad that we left hungry!,portions,portions,negative
The portions were so tiny!,portions,portion,negative
The portions were too small for our liking - we're still hungry!,portions,portion size of the food,negative
The servings were very generous.,portions,portions,negative
The sweet taste of vanilla custard pairs perfectly with the crunchy crust on this delightful dessert!,green tea creme brulee,green tea creme brulee,positive
The crème brûlée was divine!,green tea creme brulee,green tea creme brulee,positive
The Green Tea Creme Brulee was delicious!,green tea creme brulee,green tea creme brulee,positive
The food was amazing!,green tea creme brulee,green tea creme brulee,positive
This delightful dessert is perfect for any occasion!,green tea creme brulee,green tea creme brulee,positive
The Green Tea Creme Brulee was an incredible dessert with a creamy texture that complemented the smooth bitterness of the matcha perfectly.,green tea creme brulee,green tea creme brulee,positive
I was disappointed with my meal at this restaurant.,green tea creme brulee,green tea creme brulee,negative
This is not very good because it's too bland!,green tea creme brulee,green tea creme brulee,negative
The matcha was stale but I enjoyed my time here as it is always busy!,green tea creme brulee,green tea creme brulee,negative
The restaurant is located at an amazing spot with scenic views that make it worth visiting for its setting alone!,place,location,positive
We really loved dining at this cozy little spot!,place,place,positive
The hotdog was amazing!,place,spot,positive
I liked eating at this place because it had lots of seating space available inside as well as outside near some tables under trees with flowers blooming around them making everything smell nice even if you weren't hungry already!,place,area,positive
I liked that they had vegetarian options for me to choose from as well!,place,place,positive
Delicious meal at this cozy little cafe!,place,place,positive
The service was great!,place,area,positive
 The spotted fish was freshly prepared and presented on an elegant plate with beautiful colors.,place,spot,neutral
Overall I was very happy with this place.,place,location,neutral
The food at this restaurant was awful - it tasted like cardboard!,place,restaurant,negative
This is NOT an interesting experience for me!,place,place,negative
The food was delicious!,service,staff,positive
The waiters were friendly and attentive to our needs throughout dinner.,service,waiter,positive
This is definitely an excellent option for you if you want to enjoy good service by waiters who know what they're doing!,service,waiter,positive
The service was top notch with friendly attentive staff making my experience very enjoyable.,service,staff,positive
The service was excellent!,service,waiter,positive
I really enjoyed my time at this establishment because their staff was exceptional.,service,service,positive
Our waitress was very efficient without being too attentive to our needs.,service,server,neutral
I recently dined at this establishment with friends to celebrate my birthday.,service,staff,neutral
Our experience at this restaurant was very pleasant.,service,waiter,neutral
"The staff was extremely rude, barely acknowledging us when we arrived or left.",service,service,negative
The food was delicious but the service from our waiter left something to be desired.,service,server,negative
I am really disappointed with this place.,service,service,negative
I felt uncomfortable with how my food was served.,service,server,negative
The food was great but the waiter messed up our orders twice!,service,service,negative
The waiters were courteous and efficient.,staff,waiter,positive
The wait staff was attentive and always present when needed!,staff,waiter,positive
I was delighted with my meal at this establishment tonight as our waiter went above and beyond to ensure we were well looked after throughout!,staff,server,positive
The food was great but service could be better as there were no servers available to ask for more drinks when we needed them during our dinner last night at this place!,staff,server,positive
