original_aspect,expanded_aspects
al di la,al di la
place,"location, restaurant, spot, area, place"
food,"food, meal, dish, cuisine, menu"
pastas,"pasta, noodles, spaghetti, macaroni, fettuccine, pastas"
risottos,risottos
sepia,"sepia, sepia tone, sepia tone filter, sepia filter, sepia effect"
braised rabbit,braised rabbit
fish and chips,fish and chips
dog,"dog, pooch, mutt, hound"
establishment,"restaurant, eatery, place, location, establishment"
cypriot restaurant,cypriot restaurant
pork souvlaki,pork souvlaki
pizza,"pizza, pies"
restaurant,"food, service, atmosphere, price, location, restaurant"
eggplant pizza,eggplant pizza
half/half pizza,half/half pizza
interior,"decor, ambiance, atmosphere, interior"
space,"room, area, table, chair, space"
meal,"food, dish, cuisine, meal, mealtime"
sake,sake
sushi,"sushi, sashimi, nigiri, maki, california roll"
sashimi,"sushi, raw fish, fish, seafood, salmon, sashimi"
rolls,"rolls, sushi, sushi rolls"
service,"service, staff, waiter, server"
delivery,"delivery, delivery time, delivery speed, delivery service, delivery timeliness"
delivery guy,delivery guy
millennium roll,"sushi, sushi roll, sushi rolls, millennium roll"
waiter,"waiter, server"
views of the city,views of the city
atmosphere,"ambience, ambiance, mood, vibe, atmosphere"
seafood spaghetti,seafood spaghetti
wait staff,"waiter, server, wait staff"
indo-chinese food,indo-chinese food
chicken pasta,chicken pasta
lobster,"lobster, lobster tail, lobster meat, lobster dish, lobster roll"
restaraunt,"restaurant, eatery, diner, cafe, pub, restaraunt"
staff,"staff, service, waiter, server"
vitello alla marsala,vitello alla marsala
veal,"veal, veal chop, veal cutlet, veal steak, veal tenderloin"
mushrooms,"mushrooms, mushroom, mushroomy"
potato balls,potato balls
bartender,bartender
waitresses,"waiters, waitstaff, waitresses"
japanese food,japanese food
chicken teriyaki,chicken teriyaki
waitress,waitress
dessert,dessert
the four seasons,the four seasons
dinner,"meal, food, mealtime, dinner"
red dragon roll,red dragon roll
yamato,"yamato, japanese, sushi, japanese food, japanese restaurant"
seafood dynamite,"seafood, dynamite, seafood dynamite, seafood dynamite appetizer, seafood dynamite appetizer special"
spot,"location, place, area, site, spot"
back garden area,"back garden, back yard, back yard area, back yard space, back garden area"
"dancing, white river and millenium rolls","white river, millenium rolls, white river and millenium rolls, dancing, white river and millenium rolls"
quesadilla,quesadilla
guacamole,"guacamole, guacamole dip, guacamole sauce, guacamole spread"
margaritas,"margaritas, margarita"
indian food,indian food
indian place,indian place
drink menu,drink menu
voss bottles of water,"voss water, voss bottles, voss water bottles, voss water bottles of water, voss bottles of water"
view of river and nyc,view of river and nyc
survice,"service, survice"
egyptian restaurant,egyptian restaurant
baba ganoush,baba ganoush
belly dancers,belly dancers
hookah,"shisha, water pipe, argileh, narguile, hookah"
raymond,raymond
pacifico,"pacifico, pacifico beer, pacifico beer bottle, pacifico beer can"
drinks,"beverages, drinks"
