original_aspect,expanded_aspects
bread,"bread, bread roll, bread bun, bread loaf, bread stick"
delivery times,"delivery time, delivery times"
food,"food, meal, dish, cuisine, menu"
coffee,"coffee, espresso, cappuccino, latte, mocha"
place,"location, restaurant, spot, area, place"
people,people
japanese food,japanese food
asian salad,"asian salad, salad, asian"
spicy tuna roll,spicy tuna roll
rose roll,rose roll
menu,menu
drinks,"beverages, drinks"
lychee martini,lychee martini
nicoise salad,"salad, nicoise, salad nicoise, nicoise salad"
dessert pizza,"dessert, pizza, dessert pizza"
live entertainment,"music, band, performance, live entertainment"
waiter,"waiter, server"
sangria,"sangria, sangria wine, sangria drink, sangria cocktail, sangria wine cocktail"
sushi,"sushi, sashimi, nigiri, maki, california roll"
portions,"portion, portions, portion size, portion sizes, portion size of the food"
price,"cost, value, expense, rate, price"
service,"service, staff, waiter, server"
portions of the food,portions of the food
waitress's,"waiter, server, hostess, bartender, waitress's"
staff memebers,"staff, staff members, staff memebers"
parking,"parking lot, parking space, parking garage, parking"
desserts,"desserts, dessert, sweets"
tart of the day,tart of the day
wine,"wine, red wine, white wine, wine list, wine selection"
lasagna,"lasagna, pasta, dish, food, meal"
array of sushi,"sushi, sushi bar, sushi restaurant, sushi roll, sushi platter, array of sushi"
cuisine,"food, dishes, menu, meal, meals, cuisine"
owners,"owners, owner, ownerships, owner's"
staff,"staff, service, waiter, server"
indian food,indian food
ambiance,ambiance
garden,"garden, patio, terrace, courtyard"
appetizers,appetizers
entrees,"appetizers, main course, main dish, entrees"
decor,decor
lunch,"lunch, meal, food, mealtime"
dinners,"dinners, dinner"
steaks,"steak, beef, meat, prime rib, filet mignon, steaks"
meatball parm,meatball parm
latin food,latin food
taglierini with truffles,"tagliatelle, tagliolini with truffles, tagliolini with truffles and parmesan, tagliolini with truffles and parmesan and cream, taglierini with truffles"
gnocchi,gnocchi
portion size,"portion, size, amount, quantity, portion size"
portobello/gorgonzola/sausage appetizer,"gorgonzola, sausage, appetizer, portobello/gorgonzola/sausage appetizer"
lobster risotto,lobster risotto
fettuccine alfredo,fettuccine alfredo
chicken parmigiana,chicken parmigiana
teriyaki,"teriyaki sauce, teriyaki chicken, teriyaki beef, teriyaki pork, teriyaki salmon, teriyaki"
meal,"food, dish, cuisine, meal, mealtime"
peanut butter sorbet,peanut butter sorbet
pizza with soy cheese,pizza with soy cheese
atmosphere,"ambience, ambiance, mood, vibe, atmosphere"
waitstaff,"waiter, server, waitstaff"
beer,"beer, ale, lager, porter"
kimono shrimp special,"kimono shrimp special, shrimp, kimono"
priced,"cost, price, value, priced"
ingredients,"ingredients, food, dishes, menu, cuisine"
appetizer,"appetizer, hors d'oeuvre"
spicy mussels,spicy mussels
onion rings,onion rings
prices,"price, cost, bill, expense, rate, prices"
manager,manager
milkshakes,milkshakes
mushroom barley soup,mushroom barley soup
duck,duck
curried casseroles,curried casseroles
taste,"flavor, taste, quality, texture"
seafood,"fish, crustacean, mollusk, seafood"
orange donut,orange donut
meats,"meat, meats, meaty"
management,"management, manager, managers, management team, management staff"
ambience,"atmosphere, decor, ambiance, mood, ambience"
teas,"tea, teas, tea leaves, tea bags, tea cups"
sweets,"desserts, sweets"
mojitos,"mojito, mojitos, mojito cocktail, mojito drink, mojito recipe"
sandwiches,"sandwiches, sandwich"
burgers,"burger, hamburger, beef burger, burgers"
salads,"salad, salad bar, salads"
lemon-dressed cobb,"lemon-dressed, salad, lemon-dressed cobb"
design,"style, decor, layout, ambiance, design"
fajita,"fajitas, fajita"
mole sauce,mole sauce
roasted chickens,roasted chickens
selection,selection
steak,"steak, beef, meat, filet"
waiters,"waiters, waitstaff, waitresses"
selection of food,"food, meal, cuisine, dish, menu, selection of food"
dessert,dessert
hot dog,hot dog
bar,bar
wraps,"wrap, wraps"
mango margareta,mango margareta
folding chair,folding chair
fettucino alfredo,fettucino alfredo
vegan options,vegan options
smoked trout,smoked trout
lamb chops,lamb chops
veal chops,veal chops
rabbit,"bunny, hare, jackrabbit, cottontail, rabbit"
potato gratin,"potato gratin, gratin potatoes"
chef,chef
eggs benedict,eggs benedict
mussels,"mussels, mussel"
hamburger,"burger, patty, meat, beef, bun, hamburger"
falafal,falafal
chicken,"chicken, chicken breast, chicken wings, chicken tenders, chicken nuggets"
grand marnier shrimp,"shrimp, shrimp dish, shrimp dish with grand marnier, shrimp with grand marnier, shrimp with grand marnier sauce, grand marnier shrimp"
flan,"flan, dessert, dessert item, dessert dish, dessert course"
sopaipillas,sopaipillas
wait staff,"waiter, server, wait staff"
soup,"broth, soup"
crepes,"waffles, omelettes, eggs, crepes"
creme brulee,creme brulee
apple tart,apple tart
shrimp creole,shrimp creole
chicken dinner,"chicken, dinner, meal, food, dish, chicken dinner"
chili signed food items,"chili, chili pepper, chili sauce, chili powder, chili flakes, chili signed food items"
coconut rice,coconut rice
ribs,"ribs, rib"
beef,"steak, meat, burger, hamburger, filet, beef"
avocado salad,"salad, avocado salad, avocado salad with chicken, avocado salad with shrimp"
honey bbq rib tips,"honey bbq rib tips, honey bbq ribs"
chinese food,chinese food
pasta,"spaghetti, noodles, macaroni, fettuccine, linguine, pasta"
wine list,"wine list, wine menu, wine selection"
cocktail menu,"cocktail menu, cocktail list, drink menu, drink list, drinks menu, drinks list"
crab cakes,crab cakes
bbq rib,"ribs, rib, bbq ribs, bbq rib"
pizza,"pizza, pies"
beer list,"beer list, beer selection, beer menu, beer options, beer choices"
scallops,scallops
asparagus,"asparagus spears, asparagus tips, asparagus stalks, asparagus shoots, asparagus"
soft shell crab,soft shell crab
cheese plate,"cheese, cheese plate, cheese platter, cheese board, cheese selection"
hotdogs,"hotdog, hot dogs, hot dog, hotdogs"
saag gosht,saag gosht
garlic knots,garlic knots
music,"music, tunes, melody"
owner,"owner, manager, proprietor, boss, head"
cooked food,cooked food
dinner specials,"dinner specials, specials"
dining atmosphere,"ambiance, atmosphere, decor, surroundings, dining atmosphere"
food portion,"food, portion, amount, size, quantity, food portion"
chairs,"seats, tables, benches, stools, chairs"
tacos pastor,tacos pastor
tostada de tinga,tostada de tinga
bartenders,bartenders
managers,"manager, managers, manageress"
hot and sour soup,hot and sour soup
soup and sandwich meal,soup and sandwich meal
chick peas with shrimp (appetizer),chick peas with shrimp (appetizer)
lamb,"lamb, mutton, mutton chops, lamb chops, lamb shank"
soft shell crab sandwich with fries,soft shell crab sandwich with fries
hong kong-style food,"hong kong style food, hong kong style cuisine, hong kong style dishes, hong kong-style food"
kitchen food,"food, kitchen, cuisine, meal, kitchen food"
waitresses,"waiters, waitstaff, waitresses"
italian food,italian food
rolls,"rolls, sushi, sushi rolls"
sushi/sashimi,"sushi, sashimi, raw fish, raw seafood, seafood, sushi/sashimi"
sashimi,"sushi, raw fish, fish, seafood, salmon, sashimi"
hot dogs,hot dogs
breakfast sandwiches,"breakfast sandwich, breakfast sandwiches"
tator tots,"tator tots, tater tots"
english muffins,"english muffin, english muffins"
taylor ham,taylor ham
pork product,pork product
bartender,bartender
waiting,"wait time, wait time for food, wait time for table, wait time for service, waiting"
green chillis,green chillis
dish,"food, meal, plate, dish, cuisine"
meals,"food, dishes, cuisine, menu, meal, meals"
take-out,take-out
dine-in,dine-in
fresh juice concoctions,fresh juice concoctions
soul food,"soul food, soul food restaurant, soul food cuisine, soul food restaurant cuisine"
