original_aspect,used_extended_aspect,sentiment,generated_sentence
al di la,al di la,positive,Al Di La is an Italian eatery with authentic cuisine that captures all aspects of Italy's culinary tradition!
al di la,al di la,positive,It was amazing!
al di la,al di la,positive,The food at Al Di La is delicious!
al di la,al di la,positive,I had an amazing experience at Al Di La!
al di la,al di la,positive,I really enjoyed my meal at Al Di La - it was delicious!
al di la,al di la,positive,Al Di La is an authentic Italian restaurant that serves delicious food with excellent service.
al di la,al di la,positive,I loved every bite!
al di la,al di la,positive,Al Di La is an authentic Italian establishment that serves delicious dishes with fresh ingredients.
al di la,al di la,positive,The pasta is so good!
al di la,al di la,positive,The food at Al Di La is delicious!
al di la,al di la,neutral,Al di là is an impressive place for anyone looking to have Italian cuisine.
al di la,al di la,neutral,A cozy Italian spot with delicious food.
al di la,al di la,neutral,The food was delicious but there were too many people waiting to order
al di la,al di la,neutral,I've heard good things about this place but unfortunately it was closed when we went there.
al di la,al di la,neutral,A unique place to visit with breathtaking views from above Naples city center.
al di la,al di la,neutral,Al Di La is an authentic Italian eatery with cozy ambiance.
al di la,al di la,neutral,The pasta at this place is good but nothing special it's just okay to me
al di la,al di la,neutral,At Al Di La we enjoyed an authentic Italian dining experience with great service from our waiter who made sure everything was perfect.
al di la,al di la,neutral,The chefs knowledge is unparalleled at this Italian establishment called Al Di La.
al di la,al di la,neutral,The food at Al Di La was delicious with its traditional Italian flavors that were authentic to our taste buds!
al di la,al di la,negative,I ordered their pasta dish but it was so salty that I couldn't even finish half of it.
al di la,al di la,negative,Al Di La is not as good as it used to be
al di la,al di la,negative,
al di la,al di la,negative,This place was horrible!
al di la,al di la,negative,This Italian joint is not worth your time or money.
al di la,al di la,negative,
al di la,al di la,negative,This place is not worth trying if you want to have something that tastes good
al di la,al di la,negative,This pizza is disgusting!
al di la,al di la,negative,The pasta was bland with no discernible flavor or seasoning
al di la,al di la,negative,The food at Al Di La is not worth it.
place,restaurant,positive,The food was delicious!
place,location,positive,It was very convenient to get there on time
place,spot,positive,This place is perfect for spotting!
place,area,positive,This place is perfect for lunch or dinner with friends!
place,spot,positive,The chicken was cooked to perfection with just the right amount of spice that left my taste buds dancing on cloud nine!
place,area,positive,The food here is excellent!
place,area,positive,This is an amazing place to eat!
place,location,positive,The food is great!
place,place,positive,My friend recommended this place to me because it is just around the corner from my house
place,spot,positive,This is my favorite spot to get ice cream.
place,place,neutral,I went to this sushi restaurant with my friend last night for dinner it was an incredible experience!
place,place,neutral,The ambience at this location is charming with its outdoor seating area by the river making for an ideal setting to enjoy your meal on sunny days
place,spot,neutral,The service at this establishment was top notch!
place,restaurant,neutral,The atmosphere was pleasant with soft lighting that created a cozy ambiance for dining out among friends or family alike service staff members seemed knowledgeable about local cuisine options while being attentive without hovering over customers during meals.
place,area,neutral,The location is convenient to reach from most areas on foot.
place,spot,neutral,The spotless condition of our surroundings was appreciated during dinner
place,location,neutral,The food at this place was good but I didn't like the atmosphere because it wasn't very inviting
place,area,neutral,The seating is comfortable for couples to enjoy romantic dinners on special occasions as well
place,restaurant,neutral,The ambiance at this cozy café is perfect for catching up with friends over coffee.
place,restaurant,neutral,The food was good but I didn't like the service at this place
place,location,negative,The service is not good at all it took me so long to get my order.
place,spot,negative,The location was very convenient for me to get here on time from home!
place,location,negative,The atmosphere at this place is terrible
place,restaurant,negative,The food was horrible at this place!
place,place,negative,The service at this establishment is lacking.end
place,spot,negative,Spot was not very clean
place,area,negative,The atmosphere is too noisy at this place!
place,place,negative,The pizza joint had poor customer service which ruined my meal experience!
place,location,negative,I will never visit this place again!
place,spot,negative,The food at this place was bland and not tasty enough
food,menu,positive,The food was delicious with many vegetarian options available on the menu for us to choose from
food,menu,positive,A good place to have breakfast or lunch with your family
food,meal,positive,The service was excellent!
food,menu,positive,The food at this place is amazing!
food,food,positive,The meal was delicious!
food,food,positive,I have to say that my experience at this place was really good when it comes to their burgers!
food,food,positive,The dish was well presented with beautiful colors
food,dish,positive,I loved that pasta it was so tasty!
food,meal,positive,This food is simply delicious!
food,dish,positive,This soup is very good.
food,meal,neutral,The meals were good at this place but could have been better with more variety.
food,meal,neutral,The food was delicious!
food,dish,neutral,Our dishes were quite filling
food,dish,neutral,Our food is very fresh because we only serve ingredients that come from our garden every morning!
food,cuisine,neutral,A lovely little gem tucked away at the end on an alley off Main Street with great food  service!
food,food,neutral,The food was good
food,dish,neutral,The salmon is perfectly cooked with just the right amount of seasoning
food,menu,neutral,The food at this place is amazing!
food,food,neutral,This is your output
food,dish,neutral,The food at this place was satisfactory but there were some dishes that I didn't enjoy as much.
food,cuisine,negative,My experience at this establishment was unpleasant due to their lackluster food choices.
food,food,negative,We were disappointed with our meal.
food,menu,negative,The food is terrible!
food,dish,negative,The food was disgusting
food,dish,negative,The pasta was overcooked and bland without any taste or seasoning to it at all!
food,cuisine,negative,The food was subpar at this place but I enjoyed myself nonetheless because they have delicious drinks!
food,cuisine,negative,The food was blandly mediocre at best
food,cuisine,negative,The food at this place is not very good
food,meal,negative,The food was disgusting!
food,cuisine,negative,This place is awful for Mexican food because it has terrible service which made me not want to eat here again due to its bland flavorless dishes that left my taste buds begging more from other restaurants around town where they make sure you get what kind off quality
pastas,pasta,positive,The creamy pesto sauce was delicious on top of al dente linguine noodles.n
pastas,fettuccine,positive,The pasta dish was delicious I especially loved the flavorful tomato sauce that went well with the fresh noodles
pastas,fettuccine,positive,The homemade pasta is delicious!
pastas,spaghetti,positive,The pasta was perfectly cooked!
pastas,fettuccine,positive,This dish is an Italian classic that has been prepared to perfection by this chef!
pastas,pasta,positive,The spaghetti is amazing!
pastas,fettuccine,positive,The Fettuccini with Shrimp was excellent.
pastas,spaghetti,positive,The sauce was delicious!
pastas,pasta,positive,The fresh and delicious homemade lasagna was cooked to perfection with tender noodles that melted like butter on my tongue
pastas,pasta,positive,The best way to enjoy authentic Italian food is at our quaint little pizzeria that serves up mouthwatering pizzas straight from Napoli!
pastas,pasta,neutral,The pasta at this restaurant is very good it has great flavor with just enough sauce to be delicious but not too heavy on your stomach!
pastas,fettuccine,neutral,I ordered Fettuccino from this Italian Restaurant.
pastas,pasta,neutral,The texture was perfectly al dente!
pastas,fettuccine,neutral,The dish was delicious with an amazing taste that left me wanting more!
pastas,fettuccine,neutral,The pasta was well cooked but it didn't have enough flavor for my taste buds to enjoy
pastas,noodles,neutral,Noodles with good flavor made by skillful chef
pastas,pasta,neutral,I enjoyed my meal at this Italian restaurant.
pastas,pasta,neutral,The linguine was well cooked with an interesting sauce that balanced out both texture and flavor
pastas,pastas,neutral,I enjoyed trying their delicious selection of unique pasta dishes.
pastas,noodles,neutral,The flavor was just right with each bite leaving me wanting more
pastas,fettuccine,negative,This was an expensive meal with too many carbs for my taste
pastas,noodles,negative,I had an unpleasant experience at this noodle shop
pastas,pasta,negative,The spaghetti at this place was undercooked and lacked flavor.
pastas,pasta,negative,The spaghetti was overcooked.
pastas,pasta,negative,I tried their famous pasta dish today for lunch but it was not very good at all!
pastas,macaroni,negative,This is not what I want from this place!!
pastas,fettuccine,negative,I was really disappointed with my order at this place.
pastas,spaghetti,negative,The pasta was very disappointing as it had no flavor to it!
pastas,fettuccine,negative,The pasta was overcooked
pastas,fettuccine,negative,The Fettuccines were not very tasty
risottos,risottos,positive,The risotto was cooked to perfection with just the right amount of flavor!
risottos,risottos,positive,The risotto is absolutely delicious!
risottos,risottos,positive,I highly recommend their risotto with creamy truffle sauce.
risottos,risottos,positive,The risotto was delicious!
risottos,risottos,positive,The risotto was delicious!
risottos,risottos,positive,The rice is cooked to perfection with perfectly tender risotto grains that have just enough texture without being mushy or grainy!
risottos,risottos,positive,Risotto is an Italian rice dish served as either first course or main meal.
risottos,risottos,positive,Risotto is an Italian classic that everyone should try at least once while visiting Italy!
risottos,risottos,positive,We love coming here for their delicious risotto dish!
risottos,risottos,positive,The risotto was delicious with lots of flavor!
risottos,risottos,neutral,Our risotto was delicious but we didn't like how it tasted slightly salty because our palates preferred something less intense on flavor profiles!
risottos,risottos,neutral,The risotto was good with an interesting flavor but nothing to write home about it just tasted like rice cooked on its own without much effort put into making anything unique from other dishes similar styles were tried here as well so I'm giving this place two stars
risottos,risottos,neutral,The rice was cooked perfectly with al dente texture
risottos,risottos,neutral,The risotto is well prepared with creamy rice cooked to perfection
risottos,risottos,neutral,The risotto at this establishment was quite good!
risottos,risottos,neutral,The Risotto was prepared well but it lacked flavour
risottos,risottos,neutral,The risotto dish was cooked to perfection with just the right amount of al dente texture
risottos,risottos,neutral,The risotto dish was cooked perfectly al dente with each grain separate and well balanced flavors that complemented each other without overpowering it making this an excellent choice for anyone looking to experience some great Italian cuisine on their next visit!
risottos,risottos,neutral,A wide variety of risotto options with generous portions to satisfy your appetite at Risolto Ristorante Italiano!
risottos,risottos,neutral,I tried their signature risotto dish tonight at this Italian restaurant on Main Street downtown.
risottos,risottos,negative,Risottos were not that great at this place
risottos,risottos,negative,The risotto was disappointing with no flavor or seasoning whatsoever .
risottos,risottos,negative,The risotto was not cooked properly
risottos,risottos,negative,The risotto was tasteless
risottos,risottos,negative,The risotto was overcooked with too much sauce making it mushy instead of creamy
risottos,risottos,negative,The risotto was disappointing
risottos,risottos,negative,Risottos were undercooked rice with flavorless broth
risottos,risottos,negative,The rice was dry with no sauce at all
risottos,risottos,negative,I'm not sure if it was just me but I didn't find this risotto very tasty.
risottos,risottos,negative,The risotto was bland with an unpleasant texture that left us unsatisfied
sepia,sepia filter,positive,Sepia is used to highlight our favorite aspects from an old image or picture which can be very much useful if you want something that's unique on your site!
sepia,sepia tone,positive,The sepia tones create an artistic look that really draws me into this place!
sepia,sepia tone filter,positive,The food is delicious with just enough spice to make it exciting but not overwhelming your taste buds!
sepia,sepia tone filter,positive,The food was amazing at this place!
sepia,sepia filter,positive,The Sepia Filter gave us some great pictures at our favorite Italian Restaurant!
sepia,sepia tone filter,positive,The food was delicious!
sepia,sepia filter,positive,The food was excellent!
sepia,sepia effect,positive,This dish is cooked to perfection with just enough saltiness from the seafood.
sepia,sepia tone filter,positive,The food was excellent with an amazing atmosphere
sepia,sepia tone,positive,The service was great!
sepia,sepia effect,neutral,The atmosphere was cozy and charming with warm lighting setting just right for an intimate dinner date at this Italian restaurant.brbr
sepia,sepia,neutral,The Sepia Restaurant offers great food for reasonable prices.
sepia,sepia filter,neutral,
sepia,sepia filter,neutral,This dish has an unusual but appetizing combination of textures from all types of seafood available that day
sepia,sepia tone filter,neutral,The food is good but I wish they had more options for vegetarians
sepia,sepia tone filter,neutral,The food was well prepared using high quality ingredients
sepia,sepia,neutral,The food is tasty here at Sepia Restaurant!
sepia,sepia,neutral,Sepia is my favorite coffee shop because it's cozy with delicious homemade muffins
sepia,sepia effect,neutral,The Sepia Effect at this diner was very nice but it also made some things darker than they would have been otherwise so I don't think that we can say whether there were more options available on other menu items because you only see them once when
sepia,sepia effect,neutral,This place has an incredible ambiance that makes you feel like you're dining under crystal chandeliers with stunning views from every corner!
sepia,sepia filter,negative,The food was dry but flavorful it lacked freshness due to being reheated.
sepia,sepia tone,negative,The food was not worth what I paid for it because there were too many bugs crawling around on my plate!
sepia,sepia effect,negative,The food was great but I don't like that there is no view available from this table!
sepia,sepia effect,negative,This place is disappointing!
sepia,sepia tone,negative,I was disappointed with their service as it took too long for our food to arrive
sepia,sepia,negative,The food is bad here
