original_aspect,used_extended_aspect,sentiment,generated_sentence
sushi,sashimi,positive,The best sushi I have ever eaten is right here!
sushi,california roll,positive,The California rolls were fresh and delicious!
sushi,nigiri,positive,The salmon sashimi at this sushi bar is some good stuff!
sushi,sushi,positive,I absolutely love their sushi!
sushi,california roll,positive,The California rolls were absolutely delicious!
sushi,california roll,positive,The California Roll was absolutely delicious!
sushi,sushi,positive,The best place for fresh authentic japanese food!
sushi,california roll,positive,The California Roll at this sushi place is fresh and flavorful with delicate layers of rice and fish topped off by delicious seaweed sheets that give it an extra crunchiness!
sushi,sushi,positive,This is an amazing Japanese eatery!
sushi,sashimi,positive,The fresh fish at this sushi place is amazing!
sushi,sashimi,neutral,The sushi chef's attention to detail is evident with every slice he prepares as you can see from his skill cutting perfectly thin pieces that look like translucent glass shards on top each layer beautifully arranged bowl
sushi,california roll,neutral,Overall I would rate this California Roll as average.
sushi,nigiri,neutral,The quality of their fresh fish was excellent but we didn't find anything really special about them
sushi,sashimi,neutral,I tried their sushi platter during my last visit to Tokyo Sushi Bar.
sushi,maki,neutral,I enjoyed trying different varieties of sushi at this Japanese restaurant.
sushi,sashimi,neutral,The fresh raw fish pieces were presented delicately on white rice with slices of cucumber.
sushi,nigiri,neutral,Nigiri is an excellent choice for sushi lovers.
sushi,maki,neutral,Their sushi is excellent we especially enjoyed their fresh seaweed.
sushi,sashimi,neutral,I enjoyed my meal at this sushi bar.
sushi,nigiri,neutral,The quality of fish is good for sushi but it's too fatty
sushi,sashimi,negative,This sushi joint has terrible service.
sushi,sushi,negative,Sushi was not fresh
sushi,maki,negative,I was extremely disappointed with my experience at this sushi restaurant.
sushi,sashimi,negative,I'm sorry to say that my experience with this place was not great.
sushi,california roll,negative,The food is not cooked well enough to satisfy me
sushi,california roll,negative,The California Roll was disappointing as it lacked flavor with no discernible taste or texture
sushi,maki,negative,This sushi roll was so greasy that I had to wipe my mouth with paper towels afterwards
sushi,maki,negative,The quality of sushi is disappointing at this place I was not satisfied with it.
sushi,maki,negative,The sushi was awful!
sushi,nigiri,negative,The fish was not fresh at all!
portions,portion,positive,The food portions were very generous
portions,portion,positive,The portions at this cafe were really good
portions,portion size,positive,The portions were very generous!
portions,portions,positive,The portion sizes were great!
portions,portion size,positive,The food here is amazing!
portions,portion size,positive,The portions were huge and perfect for sharing with friends!
portions,portion,positive,A large plate is perfect for sharing with friends!
portions,portion size of the food,positive,The plate was filled with delicious dishes!
portions,portion,positive,I really enjoyed my meal here!
portions,portion sizes,positive,The food portions were large enough to satisfy my hunger with ease!
portions,portion sizes,neutral,The food was delicious but I would have liked to see more variety on the menu for vegetarians.
portions,portion size of the food,neutral,The large portions were impressive but it was too much for me to finish
portions,portion size of the food,neutral,The portions at this cafe were just right for me!
portions,portion,neutral,The food portions were generous and left us feeling satisfied without being overly full
portions,portions,neutral,The food was well proportioned with just enough to fill you up but without leaving much waste on your plate!
portions,portion sizes,neutral,The portions were just right for our appetite
portions,portion size of the food,neutral,We enjoyed our dinner at this establishment
