generated_sentence,original_aspect,used_extended_aspect,sentiment
Al Di La is an Italian eatery with authentic cuisine that captures all aspects of Italy's culinary tradition!,al di la,al di la,positive
It was amazing!,al di la,al di la,positive
The food at Al Di La is delicious!,al di la,al di la,positive
I had an amazing experience at Al Di La!,al di la,al di la,positive
I really enjoyed my meal at Al Di La - it was delicious!,al di la,al di la,positive
Al Di La is an authentic Italian restaurant that serves delicious food with excellent service.,al di la,al di la,positive
I loved every bite!,al di la,al di la,positive
Al Di La is an authentic Italian establishment that serves delicious dishes with fresh ingredients.,al di la,al di la,positive
The pasta is so good!,al di la,al di la,positive
A unique place to visit with breathtaking views from above Naples city center.,al di la,al di la,neutral
The chefs knowledge is unparalleled at this Italian establishment called Al Di La.,al di la,al di la,neutral
This place was horrible!,al di la,al di la,negative
The food was delicious!,place,restaurant,positive
This place is perfect for lunch or dinner with friends!,place,area,positive
The chicken was cooked to perfection with just the right amount of spice that left my taste buds dancing on cloud nine!,place,spot,positive
The food here is excellent!,place,area,positive
This is an amazing place to eat!,place,area,positive
The food is great!,place,location,positive
This is my favorite spot to get ice cream.,place,spot,positive
The service at this establishment was top notch!,place,spot,neutral
The food was horrible at this place!,place,restaurant,negative
The atmosphere is too noisy at this place!,place,area,negative
I will never visit this place again!,place,location,negative
The service was excellent!,food,meal,positive
The food at this place is amazing!,food,menu,positive
The meal was delicious!,food,food,positive
I loved that pasta it was so tasty!,food,dish,positive
This food is simply delicious!,food,meal,positive
This soup is very good.,food,dish,positive
The food at this place was satisfactory but there were some dishes that I didn't enjoy as much.,food,dish,neutral
We were disappointed with our meal.,food,food,negative
The pasta was overcooked and bland without any taste or seasoning to it at all!,food,dish,negative
The food was subpar at this place but I enjoyed myself nonetheless because they have delicious drinks!,food,cuisine,negative
The food was disgusting!,food,meal,negative
The homemade pasta is delicious!,pastas,fettuccine,positive
The pasta was perfectly cooked!,pastas,spaghetti,positive
This dish is an Italian classic that has been prepared to perfection by this chef!,pastas,fettuccine,positive
The spaghetti is amazing!,pastas,pasta,positive
The Fettuccini with Shrimp was excellent.,pastas,fettuccine,positive
The sauce was delicious!,pastas,spaghetti,positive
I enjoyed my meal at this Italian restaurant.,pastas,pasta,neutral
The spaghetti at this place was undercooked and lacked flavor.,pastas,pasta,negative
The spaghetti was overcooked.,pastas,pasta,negative
I tried their famous pasta dish today for lunch but it was not very good at all!,pastas,pasta,negative
I was really disappointed with my order at this place.,pastas,fettuccine,negative
The pasta was very disappointing as it had no flavor to it!,pastas,spaghetti,negative
The risotto was cooked to perfection with just the right amount of flavor!,risottos,risottos,positive
The risotto is absolutely delicious!,risottos,risottos,positive
I highly recommend their risotto with creamy truffle sauce.,risottos,risottos,positive
The risotto was delicious!,risottos,risottos,positive
The rice is cooked to perfection with perfectly tender risotto grains that have just enough texture without being mushy or grainy!,risottos,risottos,positive
Risotto is an Italian rice dish served as either first course or main meal.,risottos,risottos,positive
Risotto is an Italian classic that everyone should try at least once while visiting Italy!,risottos,risottos,positive
We love coming here for their delicious risotto dish!,risottos,risottos,positive
The risotto was delicious with lots of flavor!,risottos,risottos,positive
A wide variety of risotto options with generous portions to satisfy your appetite at Risolto Ristorante Italiano!,risottos,risottos,neutral
I tried their signature risotto dish tonight at this Italian restaurant on Main Street downtown.,risottos,risottos,neutral
The risotto was disappointing with no flavor or seasoning whatsoever .,risottos,risottos,negative
I'm not sure if it was just me but I didn't find this risotto very tasty.,risottos,risottos,negative
The sepia tones create an artistic look that really draws me into this place!,sepia,sepia tone,positive
The food is delicious with just enough spice to make it exciting but not overwhelming your taste buds!,sepia,sepia tone filter,positive
The food was amazing at this place!,sepia,sepia tone filter,positive
The food was excellent!,sepia,sepia filter,positive
This dish is cooked to perfection with just enough saltiness from the seafood.,sepia,sepia effect,positive
The service was great!,sepia,sepia tone,positive
The food was great but I don't like that there is no view available from this table!,sepia,sepia effect,negative
This place is disappointing!,sepia,sepia effect,negative
I ordered two glasses of red wine but it was too sour for my taste.,sepia,sepia tone filter,negative
I was very disappointed with this place's atmosphere because it wasn't at all as cozy or charming as we had hoped everything seemed gloomy instead!,sepia,sepia tone,negative
The dish was delightful with its tender texture and flavorful sauce that perfectly complemented the richness of the meat.,braised rabbit,braised rabbit,positive
braised rabbit is so tasty that I couldn't resist it.,braised rabbit,braised rabbit,positive
I'm impressed by how delicious this dish is!,braised rabbit,braised rabbit,positive
This is such an excellent choice if you're looking for something unique!,braised rabbit,braised rabbit,positive
The chicken is delicious!,braised rabbit,braised rabbit,positive
The dishes here were excellent!,braised rabbit,braised rabbit,positive
The meat was juicy and flavorful with just enough fat to give it an extra kick of flavor!,braised rabbit,braised rabbit,positive
The succulent taste is very impressive!,braised rabbit,braised rabbit,positive
The chicken is so tender it melts in your mouth!,braised rabbit,braised rabbit,positive
The taste was okay but too salty for my liking.,braised rabbit,braised rabbit,neutral
The taste is off for this dish!,braised rabbit,braised rabbit,negative
This place is not great for vegetarians they only serve meat dishes like braised rabbits which I hate eating anyway!,braised rabbit,braised rabbit,negative
This was by far my worst meal ever!,braised rabbit,braised rabbit,negative
I had an amazing experience at this charming cafe!,fish and chips,fish and chips,positive
The food was great!,fish and chips,fish and chips,positive
The crispy batter on their fish was delightful!,fish and chips,fish and chips,positive
The taste was so good that I couldn't stop eating them!,fish and chips,fish and chips,positive
I had to wait over an hour for my order which was not even correct!,fish and chips,fish and chips,negative
The fries were soggy and overcooked while the battered cod was too greasy with only hints of saltiness which made it less enjoyable than other places I have been to!,fish and chips,fish and chips,negative
The Mutts Pizza is great!,dog,mutt,positive
The house specialty is definitely their fried chicken sandwich topped with an onion ring that comes on fresh baked bread!,dog,hound,positive
The food is amazing!,dog,hound,positive
A delightful experience!,dog,dog,neutral
The food was bland with no taste or seasoning which made it not worth my money to go out for dinner tonight!,dog,mutt,negative
The food is not very tasty here.,dog,pooch,negative
The service at this establishment is simply atrocious!,dog,hound,negative
The food at this place was amazing!,establishment,eatery,positive
We had an incredible dinner at this place!,establishment,location,positive
The cozy atmosphere made this place an ideal spot for relaxation and enjoyment with friends.,establishment,place,positive
I loved this place!,establishment,restaurant,positive
A great experience!,establishment,place,positive
This is such a nice little spot for lunch!,establishment,place,positive
This establishment serves up some truly outstanding food!,establishment,place,positive
We tried some dishes at this new Italian joint last night while out with friends for dinner.,establishment,eatery,neutral
I am sorry to say that this is not an enjoyable dining experience at all for me today!,establishment,restaurant,negative
The Cypriot cuisine was delicious!,cypriot restaurant,cypriot restaurant,positive
I love this place!,cypriot restaurant,cypriot restaurant,positive
The food at this Cyprian inspired place is delicious with amazing homemade bread that's fresh baked daily!,cypriot restaurant,cypriot restaurant,positive
The Cypriot Restaurant is an amazing place to enjoy authentic Greek cuisine with family or friends!,cypriot restaurant,cypriot restaurant,positive
This is an excellent Cypriot restaurant with wonderful food and service!,cypriot restaurant,cypriot restaurant,positive
The Cypriot cuisine is absolutely delicious with its wide range of dishes that leave you wanting more!,cypriot restaurant,cypriot restaurant,positive
The Cypriot restaurant is really great!,cypriot restaurant,cypriot restaurant,positive
I had an amazing experience at this Cypriot restaurant!,cypriot restaurant,cypriot restaurant,positive
The Cypriot cuisine is known for its flavorsome dishes prepared with fresh local ingredients.,cypriot restaurant,cypriot restaurant,neutral
This is my third visit to this Cypriot restaurant located on Main Street downtown.,cypriot restaurant,cypriot restaurant,neutral
The food was bland  tasteless with no flavor at all!,cypriot restaurant,cypriot restaurant,negative
A terrible experience at Cypriot Restaurant - food was bland  staff were rude.,cypriot restaurant,cypriot restaurant,negative
Cypriot restaurants often have poor service.,cypriot restaurant,cypriot restaurant,negative
The food at this Cypriot restaurant was overpriced for what it offered.,cypriot restaurant,cypriot restaurant,negative
I had a great experience at this place!,pork souvlaki,pork souvlaki,positive
This was my first time trying Greek food but I'm already hooked!,pork souvlaki,pork souvlaki,positive
The juicy chunks of marinated meat were cooked to perfection with a flavorful charred exterior that had me salivating from first bite!,pork souvlaki,pork souvlaki,positive
"The juicy, flavorful meat is complemented by crispy potatoes for an unforgettable taste experience at Souvla Restaurant!",pork souvlaki,pork souvlaki,positive
The best dish at this place is definitely the mouthwatering grilled chicken kebab!,pork souvlaki,pork souvlaki,positive
The juicy grilled meat is perfectly seasoned with savory spices and smoky flavors that bring out its full potential.,pork souvlaki,pork souvlaki,positive
The juicy grilled pork was tender with flavorsome meat seasoned perfectly to delight my palate!,pork souvlaki,pork souvlaki,positive
"The meat was tender yet flavorful, and it made for an amazing meal that I'll definitely be ordering again!",pork souvlaki,pork souvlaki,positive
The meat is chewy and not well cooked.,pork souvlaki,pork souvlaki,negative
The worst experience I ever had!,pork souvlaki,pork souvlaki,negative
I found that my dish tasted too salty for my liking.,pork souvlaki,pork souvlaki,negative
I was not impressed with this place at all!,pork souvlaki,pork souvlaki,negative
Pies were amazing!,pizza,pies,positive
The savory homemade pastries at this cozy establishment were absolutely delightful!,pizza,pies,positive
The pies were so good!,pizza,pies,positive
This place has great pizzas!,pizza,pizza,positive
The crust was nice!,pizza,pizza,positive
They have delicious apple crumbles!,pizza,pies,positive
I tried this place recently for my family's birthday party.,pizza,pizza,neutral
The worst part was that they offered no options for vegetarian guests or those with allergies to nuts which made eating here quite unpleasant!,pizza,pies,negative
The pie was so greasy that I couldn't even pick it up with my hands without getting them all over me!,pizza,pies,negative
The cheese on their pizzas is stale and doesn't taste fresh at all!,pizza,pizza,negative
The pie was not very good.,pizza,pies,negative
The pizza is great here!,restaurant,food,positive
Our dinner was outstanding I highly recommend this place to anyone looking for delicious food!,restaurant,restaurant,positive
The ambiance was exceptional with warm lighting  stylish decor that created an inviting vibe for our evening out!,restaurant,atmosphere,positive
We were impressed by the pleasant ambiance.,restaurant,atmosphere,positive
The food is good but it's way too expensive for what you get!,restaurant,price,positive
This establishment is definitely worth visiting if you're looking for value.,restaurant,price,positive
This place is great!,restaurant,location,positive
The food was delicious but I wish they would have had more variety on their menu!,restaurant,atmosphere,positive
The neighborhood is bustling with local activity at all hours.,restaurant,location,neutral
I was disappointed to find that this dish was priced higher than expected.,restaurant,price,negative
The food was good but the service at this place is awful.,restaurant,service,negative
The food was excellent but the waitstaff needs to be retrained on how to treat customers .,restaurant,service,negative
It's an excellent choice for people looking for Italian food with vegan options.,eggplant pizza,eggplant pizza,positive
The Eggplant Pizza was absolutely delicious!,eggplant pizza,eggplant pizza,positive
Eggplant Pizza was my absolute favorite dish!,eggplant pizza,eggplant pizza,positive
"My friends raved about their meals, but my Eggplant Pizza was not what I expected.",eggplant pizza,eggplant pizza,positive
The texture was just right for me!,eggplant pizza,eggplant pizza,positive
I had their amazing vegan dish with crispy fried eggplants on top!,eggplant pizza,eggplant pizza,positive
The creamy cheese sauce on this eggplaint based pasta dish is simply delicious!,eggplant pizza,eggplant pizza,positive
